forecast_id,date,section,line,window_start,window_end,train_type,forecast_priority
GDS-42,2026-09-03,STN_A-STN_B,UP_MAIN,2026-09-03 05:59,2026-09-03 06:19,GOODS,MEDIUM
GDS-43,2026-09-03,STN_A-STN_B,DN_MAIN,2026-09-03 18:23,2026-09-03 18:48,GOODS,MEDIUM
GDS-44,2026-09-03,STN_A-STN_B,DN_MAIN,2026-09-03 21:23,2026-09-03 21:43,GOODS,HIGH
GDS-45,2026-09-03,STN_A-STN_B,DN_MAIN,2026-09-03 00:38,2026-09-03 00:58,GOODS,MEDIUM
GDS-46,2026-09-03,STN_B-STN_C,UP_MAIN,2026-09-03 01:15,2026-09-03 01:45,GOODS,MEDIUM
GDS-47,2026-09-03,STN_B-STN_C,UP_MAIN,2026-09-03 22:19,2026-09-03 22:44,GOODS,MEDIUM
GDS-48,2026-09-03,STN_B-STN_C,UP_MAIN,2026-09-03 13:23,2026-09-03 13:48,GOODS,MEDIUM
GDS-49,2026-09-03,STN_B-STN_C,DN_MAIN,2026-09-03 15:51,2026-09-03 16:11,GOODS,MEDIUM
GDS-50,2026-09-03,STN_B-STN_C,DN_MAIN,2026-09-03 12:25,2026-09-03 12:45,GOODS,HIGH
GDS-51,2026-09-03,STN_B-STN_C,DN_MAIN,2026-09-03 20:57,2026-09-03 21:22,GOODS,HIGH
GDS-52,2026-09-03,STN_C-STN_D,UP_MAIN,2026-09-03 05:26,2026-09-03 05:51,GOODS,HIGH
GDS-53,2026-09-03,STN_C-STN_D,UP_MAIN,2026-09-03 16:30,2026-09-03 17:00,GOODS,HIGH
GDS-54,2026-09-03,STN_C-STN_D,UP_MAIN,2026-09-03 07:28,2026-09-03 08:13,GOODS,HIGH
GDS-55,2026-09-03,STN_C-STN_D,UP_MAIN,2026-09-03 02:08,2026-09-03 02:38,GOODS,MEDIUM
GDS-56,2026-09-03,STN_C-STN_D,UP_MAIN,2026-09-03 07:59,2026-09-03 08:19,GOODS,HIGH
GDS-57,2026-09-03,STN_C-STN_D,DN_MAIN,2026-09-03 13:14,2026-09-03 13:59,GOODS,MEDIUM
GDS-58,2026-09-03,STN_C-STN_D,DN_MAIN,2026-09-03 01:35,2026-09-03 01:55,GOODS,MEDIUM
GDS-59,2026-09-03,STN_C-STN_D,DN_MAIN,2026-09-03 03:31,2026-09-03 04:01,GOODS,MEDIUM
GDS-60,2026-09-03,STN_C-STN_D,DN_MAIN,2026-09-03 19:45,2026-09-03 20:10,GOODS,MEDIUM
GDS-61,2026-09-04,STN_A-STN_B,UP_MAIN,2026-09-04 12:28,2026-09-04 12:48,GOODS,MEDIUM
GDS-62,2026-09-04,STN_A-STN_B,UP_MAIN,2026-09-04 12:50,2026-09-04 13:15,GOODS,MEDIUM
GDS-63,2026-09-04,STN_A-STN_B,UP_MAIN,2026-09-04 12:02,2026-09-04 12:32,GOODS,MEDIUM
GDS-64,2026-09-04,STN_A-STN_B,UP_MAIN,2026-09-04 16:27,2026-09-04 16:47,GOODS,HIGH
GDS-65,2026-09-04,STN_A-STN_B,UP_MAIN,2026-09-04 15:00,2026-09-04 15:25,GOODS,HIGH
GDS-66,2026-09-04,STN_A-STN_B,DN_MAIN,2026-09-04 17:33,2026-09-04 18:03,GOODS,HIGH
GDS-67,2026-09-04,STN_A-STN_B,DN_MAIN,2026-09-04 05:07,2026-09-04 05:32,GOODS,HIGH
GDS-68,2026-09-04,STN_B-STN_C,UP_MAIN,2026-09-04 20:32,2026-09-04 20:52,GOODS,HIGH
GDS-69,2026-09-04,STN_B-STN_C,UP_MAIN,2026-09-04 14:09,2026-09-04 14:39,GOODS,HIGH
GDS-70,2026-09-04,STN_B-STN_C,UP_MAIN,2026-09-04 16:26,2026-09-04 17:11,GOODS,MEDIUM
GDS-71,2026-09-04,STN_B-STN_C,UP_MAIN,2026-09-04 07:11,2026-09-04 07:36,GOODS,MEDIUM
GDS-72,2026-09-04,STN_B-STN_C,DN_MAIN,2026-09-04 08:19,2026-09-04 08:39,GOODS,HIGH
GDS-73,2026-09-04,STN_B-STN_C,DN_MAIN,2026-09-04 19:34,2026-09-04 19:59,GOODS,HIGH
GDS-74,2026-09-04,STN_C-STN_D,UP_MAIN,2026-09-04 19:32,2026-09-04 19:57,GOODS,HIGH
GDS-75,2026-09-04,STN_C-STN_D,UP_MAIN,2026-09-04 05:40,2026-09-04 06:10,GOODS,HIGH
GDS-76,2026-09-04,STN_C-STN_D,DN_MAIN,2026-09-04 20:27,2026-09-04 20:47,GOODS,MEDIUM
GDS-77,2026-09-04,STN_C-STN_D,DN_MAIN,2026-09-04 02:55,2026-09-04 03:20,GOODS,MEDIUM
GDS-78,2026-09-04,STN_C-STN_D,DN_MAIN,2026-09-04 20:42,2026-09-04 21:27,GOODS,MEDIUM
GDS-79,2026-09-04,STN_C-STN_D,DN_MAIN,2026-09-04 05:49,2026-09-04 06:14,GOODS,MEDIUM
GDS-80,2026-09-04,STN_C-STN_D,DN_MAIN,2026-09-04 20:30,2026-09-04 20:55,GOODS,HIGH
GDS-81,2026-09-05,STN_A-STN_B,UP_MAIN,2026-09-05 05:43,2026-09-05 06:13,GOODS,MEDIUM
GDS-82,2026-09-05,STN_A-STN_B,UP_MAIN,2026-09-05 20:21,2026-09-05 20:41,GOODS,HIGH
GDS-83,2026-09-05,STN_A-STN_B,UP_MAIN,2026-09-05 12:54,2026-09-05 13:39,GOODS,HIGH
GDS-84,2026-09-05,STN_A-STN_B,UP_MAIN,2026-09-05 03:42,2026-09-05 04:02,GOODS,HIGH
GDS-85,2026-09-05,STN_A-STN_B,DN_MAIN,2026-09-05 05:06,2026-09-05 05:26,GOODS,HIGH
GDS-86,2026-09-05,STN_A-STN_B,DN_MAIN,2026-09-05 16:14,2026-09-05 16:34,GOODS,HIGH
GDS-87,2026-09-05,STN_A-STN_B,DN_MAIN,2026-09-05 03:10,2026-09-05 03:55,GOODS,HIGH
GDS-88,2026-09-05,STN_A-STN_B,DN_MAIN,2026-09-05 20:35,2026-09-05 20:55,GOODS,MEDIUM
GDS-89,2026-09-05,STN_A-STN_B,DN_MAIN,2026-09-05 17:49,2026-09-05 18:34,GOODS,MEDIUM
GDS-90,2026-09-05,STN_B-STN_C,UP_MAIN,2026-09-05 23:48,2026-09-06 00:33,GOODS,HIGH
GDS-91,2026-09-05,STN_B-STN_C,UP_MAIN,2026-09-05 16:27,2026-09-05 17:12,GOODS,MEDIUM
GDS-92,2026-09-05,STN_B-STN_C,DN_MAIN,2026-09-05 14:31,2026-09-05 14:56,GOODS,MEDIUM
GDS-93,2026-09-05,STN_B-STN_C,DN_MAIN,2026-09-05 16:17,2026-09-05 16:42,GOODS,HIGH
GDS-94,2026-09-05,STN_C-STN_D,UP_MAIN,2026-09-05 20:25,2026-09-05 21:10,GOODS,MEDIUM
GDS-95,2026-09-05,STN_C-STN_D,UP_MAIN,2026-09-05 06:27,2026-09-05 06:47,GOODS,HIGH
GDS-96,2026-09-05,STN_C-STN_D,UP_MAIN,2026-09-05 19:43,2026-09-05 20:03,GOODS,HIGH
GDS-97,2026-09-05,STN_C-STN_D,UP_MAIN,2026-09-05 12:48,2026-09-05 13:13,GOODS,MEDIUM
GDS-98,2026-09-05,STN_C-STN_D,DN_MAIN,2026-09-05 12:21,2026-09-05 12:41,GOODS,HIGH
GDS-99,2026-09-05,STN_C-STN_D,DN_MAIN,2026-09-05 14:32,2026-09-05 15:02,GOODS,MEDIUM
GDS-100,2026-09-05,STN_C-STN_D,DN_MAIN,2026-09-05 18:17,2026-09-05 19:02,GOODS,MEDIUM
GDS-101,2026-09-05,STN_C-STN_D,DN_MAIN,2026-09-05 20:53,2026-09-05 21:23,GOODS,MEDIUM
GDS-102,2026-09-05,STN_C-STN_D,DN_MAIN,2026-09-05 06:57,2026-09-05 07:42,GOODS,MEDIUM
GDS-103,2026-09-06,STN_A-STN_B,UP_MAIN,2026-09-06 12:38,2026-09-06 13:23,GOODS,MEDIUM
GDS-104,2026-09-06,STN_A-STN_B,UP_MAIN,2026-09-06 10:28,2026-09-06 10:58,GOODS,MEDIUM
GDS-105,2026-09-06,STN_A-STN_B,UP_MAIN,2026-09-06 04:42,2026-09-06 05:02,GOODS,HIGH
GDS-106,2026-09-06,STN_A-STN_B,DN_MAIN,2026-09-06 23:52,2026-09-07 00:17,GOODS,HIGH
GDS-107,2026-09-06,STN_A-STN_B,DN_MAIN,2026-09-06 07:19,2026-09-06 08:04,GOODS,MEDIUM
GDS-108,2026-09-06,STN_A-STN_B,DN_MAIN,2026-09-06 18:47,2026-09-06 19:07,GOODS,HIGH
GDS-109,2026-09-06,STN_A-STN_B,DN_MAIN,2026-09-06 13:16,2026-09-06 13:36,GOODS,HIGH
GDS-110,2026-09-06,STN_A-STN_B,DN_MAIN,2026-09-06 04:57,2026-09-06 05:42,GOODS,MEDIUM
GDS-111,2026-09-06,STN_B-STN_C,UP_MAIN,2026-09-06 02:11,2026-09-06 02:41,GOODS,HIGH
GDS-112,2026-09-06,STN_B-STN_C,UP_MAIN,2026-09-06 12:39,2026-09-06 12:59,GOODS,HIGH
GDS-113,2026-09-06,STN_B-STN_C,DN_MAIN,2026-09-06 13:40,2026-09-06 14:10,GOODS,HIGH
GDS-114,2026-09-06,STN_B-STN_C,DN_MAIN,2026-09-06 05:58,2026-09-06 06:43,GOODS,MEDIUM
GDS-115,2026-09-06,STN_B-STN_C,DN_MAIN,2026-09-06 00:21,2026-09-06 00:46,GOODS,MEDIUM
GDS-116,2026-09-06,STN_B-STN_C,DN_MAIN,2026-09-06 06:38,2026-09-06 06:58,GOODS,HIGH
GDS-117,2026-09-06,STN_B-STN_C,DN_MAIN,2026-09-06 20:59,2026-09-06 21:24,GOODS,HIGH
GDS-118,2026-09-06,STN_C-STN_D,UP_MAIN,2026-09-06 08:09,2026-09-06 08:29,GOODS,HIGH
GDS-119,2026-09-06,STN_C-STN_D,UP_MAIN,2026-09-06 02:57,2026-09-06 03:27,GOODS,MEDIUM
GDS-120,2026-09-06,STN_C-STN_D,UP_MAIN,2026-09-06 12:03,2026-09-06 12:48,GOODS,MEDIUM
GDS-121,2026-09-06,STN_C-STN_D,UP_MAIN,2026-09-06 20:00,2026-09-06 20:25,GOODS,HIGH
GDS-122,2026-09-06,STN_C-STN_D,DN_MAIN,2026-09-06 03:04,2026-09-06 03:34,GOODS,MEDIUM
GDS-123,2026-09-06,STN_C-STN_D,DN_MAIN,2026-09-06 11:51,2026-09-06 12:21,GOODS,HIGH
GDS-124,2026-09-07,STN_A-STN_B,UP_MAIN,2026-09-07 15:31,2026-09-07 16:16,GOODS,HIGH
GDS-125,2026-09-07,STN_A-STN_B,UP_MAIN,2026-09-07 08:54,2026-09-07 09:19,GOODS,MEDIUM
GDS-126,2026-09-07,STN_A-STN_B,UP_MAIN,2026-09-07 17:16,2026-09-07 17:36,GOODS,HIGH
GDS-127,2026-09-07,STN_A-STN_B,DN_MAIN,2026-09-07 11:36,2026-09-07 11:56,GOODS,MEDIUM
GDS-128,2026-09-07,STN_A-STN_B,DN_MAIN,2026-09-07 18:21,2026-09-07 18:51,GOODS,MEDIUM
GDS-129,2026-09-07,STN_A-STN_B,DN_MAIN,2026-09-07 12:52,2026-09-07 13:37,GOODS,HIGH
GDS-130,2026-09-07,STN_A-STN_B,DN_MAIN,2026-09-07 11:35,2026-09-07 12:20,GOODS,MEDIUM
GDS-131,2026-09-07,STN_B-STN_C,UP_MAIN,2026-09-07 16:27,2026-09-07 16:47,GOODS,MEDIUM
GDS-132,2026-09-07,STN_B-STN_C,UP_MAIN,2026-09-07 02:18,2026-09-07 03:03,GOODS,HIGH
GDS-133,2026-09-07,STN_B-STN_C,DN_MAIN,2026-09-07 10:46,2026-09-07 11:31,GOODS,MEDIUM
GDS-134,2026-09-07,STN_B-STN_C,DN_MAIN,2026-09-07 17:37,2026-09-07 17:57,GOODS,MEDIUM
GDS-135,2026-09-07,STN_B-STN_C,DN_MAIN,2026-09-07 08:28,2026-09-07 08:58,GOODS,HIGH
GDS-136,2026-09-07,STN_C-STN_D,UP_MAIN,2026-09-07 22:59,2026-09-07 23:29,GOODS,HIGH
GDS-137,2026-09-07,STN_C-STN_D,UP_MAIN,2026-09-07 18:55,2026-09-07 19:20,GOODS,MEDIUM
GDS-138,2026-09-07,STN_C-STN_D,UP_MAIN,2026-09-07 10:42,2026-09-07 11:12,GOODS,HIGH
GDS-139,2026-09-07,STN_C-STN_D,UP_MAIN,2026-09-07 19:34,2026-09-07 20:04,GOODS,HIGH
GDS-140,2026-09-07,STN_C-STN_D,UP_MAIN,2026-09-07 23:19,2026-09-07 23:44,GOODS,MEDIUM
GDS-141,2026-09-07,STN_C-STN_D,DN_MAIN,2026-09-07 08:00,2026-09-07 08:25,GOODS,MEDIUM
GDS-142,2026-09-07,STN_C-STN_D,DN_MAIN,2026-09-07 07:03,2026-09-07 07:28,GOODS,HIGH
GDS-143,2026-09-07,STN_C-STN_D,DN_MAIN,2026-09-07 08:31,2026-09-07 09:01,GOODS,HIGH
GDS-144,2026-09-08,STN_A-STN_B,UP_MAIN,2026-09-08 04:05,2026-09-08 04:25,GOODS,MEDIUM
GDS-145,2026-09-08,STN_A-STN_B,UP_MAIN,2026-09-08 20:57,2026-09-08 21:17,GOODS,HIGH
GDS-146,2026-09-08,STN_A-STN_B,DN_MAIN,2026-09-08 12:40,2026-09-08 13:10,GOODS,MEDIUM
GDS-147,2026-09-08,STN_A-STN_B,DN_MAIN,2026-09-08 19:36,2026-09-08 20:06,GOODS,MEDIUM
GDS-148,2026-09-08,STN_A-STN_B,DN_MAIN,2026-09-08 06:14,2026-09-08 06:44,GOODS,MEDIUM
GDS-149,2026-09-08,STN_A-STN_B,DN_MAIN,2026-09-08 07:34,2026-09-08 07:59,GOODS,HIGH
GDS-150,2026-09-08,STN_A-STN_B,DN_MAIN,2026-09-08 17:56,2026-09-08 18:41,GOODS,MEDIUM
GDS-151,2026-09-08,STN_B-STN_C,UP_MAIN,2026-09-08 17:09,2026-09-08 17:39,GOODS,MEDIUM
GDS-152,2026-09-08,STN_B-STN_C,UP_MAIN,2026-09-08 23:25,2026-09-08 23:50,GOODS,MEDIUM
GDS-153,2026-09-08,STN_B-STN_C,DN_MAIN,2026-09-08 23:50,2026-09-09 00:35,GOODS,MEDIUM
GDS-154,2026-09-08,STN_B-STN_C,DN_MAIN,2026-09-08 23:31,2026-09-08 23:51,GOODS,HIGH
GDS-155,2026-09-08,STN_C-STN_D,UP_MAIN,2026-09-08 12:57,2026-09-08 13:17,GOODS,MEDIUM
GDS-156,2026-09-08,STN_C-STN_D,UP_MAIN,2026-09-08 12:20,2026-09-08 12:50,GOODS,HIGH
GDS-157,2026-09-08,STN_C-STN_D,UP_MAIN,2026-09-08 18:43,2026-09-08 19:13,GOODS,HIGH
GDS-158,2026-09-08,STN_C-STN_D,DN_MAIN,2026-09-08 16:05,2026-09-08 16:35,GOODS,MEDIUM
GDS-159,2026-09-08,STN_C-STN_D,DN_MAIN,2026-09-08 06:16,2026-09-08 07:01,GOODS,MEDIUM
GDS-160,2026-09-08,STN_C-STN_D,DN_MAIN,2026-09-08 07:11,2026-09-08 07:56,GOODS,MEDIUM
GDS-161,2026-09-08,STN_C-STN_D,DN_MAIN,2026-09-08 12:27,2026-09-08 13:12,GOODS,MEDIUM
GDS-162,2026-09-09,STN_A-STN_B,UP_MAIN,2026-09-09 06:08,2026-09-09 06:33,GOODS,HIGH
GDS-163,2026-09-09,STN_A-STN_B,UP_MAIN,2026-09-09 03:24,2026-09-09 03:54,GOODS,HIGH
GDS-164,2026-09-09,STN_A-STN_B,UP_MAIN,2026-09-09 18:57,2026-09-09 19:42,GOODS,MEDIUM
GDS-165,2026-09-09,STN_A-STN_B,UP_MAIN,2026-09-09 06:41,2026-09-09 07:06,GOODS,HIGH
GDS-166,2026-09-09,STN_A-STN_B,UP_MAIN,2026-09-09 16:08,2026-09-09 16:28,GOODS,HIGH
GDS-167,2026-09-09,STN_A-STN_B,DN_MAIN,2026-09-09 17:03,2026-09-09 17:28,GOODS,MEDIUM
GDS-168,2026-09-09,STN_A-STN_B,DN_MAIN,2026-09-09 16:36,2026-09-09 17:06,GOODS,MEDIUM
GDS-169,2026-09-09,STN_A-STN_B,DN_MAIN,2026-09-09 19:11,2026-09-09 19:31,GOODS,MEDIUM
GDS-170,2026-09-09,STN_A-STN_B,DN_MAIN,2026-09-09 03:22,2026-09-09 03:47,GOODS,HIGH
GDS-171,2026-09-09,STN_A-STN_B,DN_MAIN,2026-09-09 07:21,2026-09-09 07:51,GOODS,MEDIUM
GDS-172,2026-09-09,STN_B-STN_C,UP_MAIN,2026-09-09 15:21,2026-09-09 15:51,GOODS,MEDIUM
GDS-173,2026-09-09,STN_B-STN_C,UP_MAIN,2026-09-09 12:19,2026-09-09 12:49,GOODS,MEDIUM
GDS-174,2026-09-09,STN_B-STN_C,DN_MAIN,2026-09-09 00:40,2026-09-09 01:25,GOODS,HIGH
GDS-175,2026-09-09,STN_B-STN_C,DN_MAIN,2026-09-09 11:59,2026-09-09 12:24,GOODS,HIGH
GDS-176,2026-09-09,STN_B-STN_C,DN_MAIN,2026-09-09 09:42,2026-09-09 10:12,GOODS,MEDIUM
GDS-177,2026-09-09,STN_B-STN_C,DN_MAIN,2026-09-09 22:58,2026-09-09 23:43,GOODS,MEDIUM
GDS-178,2026-09-09,STN_C-STN_D,UP_MAIN,2026-09-09 13:00,2026-09-09 13:30,GOODS,MEDIUM
GDS-179,2026-09-09,STN_C-STN_D,UP_MAIN,2026-09-09 21:33,2026-09-09 21:58,GOODS,HIGH
GDS-180,2026-09-09,STN_C-STN_D,DN_MAIN,2026-09-09 14:23,2026-09-09 15:08,GOODS,HIGH
GDS-181,2026-09-09,STN_C-STN_D,DN_MAIN,2026-09-09 02:42,2026-09-09 03:07,GOODS,MEDIUM
GDS-182,2026-09-09,STN_C-STN_D,DN_MAIN,2026-09-09 07:47,2026-09-09 08:17,GOODS,MEDIUM
GDS-183,2026-09-09,STN_C-STN_D,DN_MAIN,2026-09-09 22:17,2026-09-09 22:47,GOODS,MEDIUM
GDS-184,2026-09-10,STN_A-STN_B,UP_MAIN,2026-09-10 09:15,2026-09-10 10:00,GOODS,MEDIUM
GDS-185,2026-09-10,STN_A-STN_B,UP_MAIN,2026-09-10 20:02,2026-09-10 20:47,GOODS,MEDIUM
GDS-186,2026-09-10,STN_A-STN_B,UP_MAIN,2026-09-10 05:42,2026-09-10 06:07,GOODS,HIGH
GDS-187,2026-09-10,STN_A-STN_B,UP_MAIN,2026-09-10 04:16,2026-09-10 04:41,GOODS,MEDIUM
GDS-188,2026-09-10,STN_A-STN_B,UP_MAIN,2026-09-10 23:55,2026-09-11 00:15,GOODS,HIGH
GDS-189,2026-09-10,STN_A-STN_B,DN_MAIN,2026-09-10 13:33,2026-09-10 13:53,GOODS,HIGH
GDS-190,2026-09-10,STN_A-STN_B,DN_MAIN,2026-09-10 02:10,2026-09-10 02:55,GOODS,HIGH
GDS-191,2026-09-10,STN_A-STN_B,DN_MAIN,2026-09-10 00:53,2026-09-10 01:38,GOODS,HIGH
GDS-192,2026-09-10,STN_B-STN_C,UP_MAIN,2026-09-10 08:57,2026-09-10 09:22,GOODS,HIGH
GDS-193,2026-09-10,STN_B-STN_C,UP_MAIN,2026-09-10 22:21,2026-09-10 23:06,GOODS,MEDIUM
GDS-194,2026-09-10,STN_B-STN_C,DN_MAIN,2026-09-10 08:26,2026-09-10 08:56,GOODS,MEDIUM
GDS-195,2026-09-10,STN_B-STN_C,DN_MAIN,2026-09-10 21:23,2026-09-10 21:48,GOODS,HIGH
GDS-196,2026-09-10,STN_B-STN_C,DN_MAIN,2026-09-10 17:58,2026-09-10 18:23,GOODS,HIGH
GDS-197,2026-09-10,STN_C-STN_D,UP_MAIN,2026-09-10 22:38,2026-09-10 23:08,GOODS,MEDIUM
GDS-198,2026-09-10,STN_C-STN_D,UP_MAIN,2026-09-10 16:15,2026-09-10 17:00,GOODS,MEDIUM
GDS-199,2026-09-10,STN_C-STN_D,DN_MAIN,2026-09-10 04:36,2026-09-10 05:01,GOODS,MEDIUM
GDS-200,2026-09-10,STN_C-STN_D,DN_MAIN,2026-09-10 21:32,2026-09-10 22:17,GOODS,MEDIUM
GDS-201,2026-09-10,STN_C-STN_D,DN_MAIN,2026-09-10 11:51,2026-09-10 12:36,GOODS,HIGH
GDS-202,2026-09-10,STN_C-STN_D,DN_MAIN,2026-09-10 03:03,2026-09-10 03:48,GOODS,MEDIUM
GDS-203,2026-09-10,STN_C-STN_D,DN_MAIN,2026-09-10 12:29,2026-09-10 13:14,GOODS,MEDIUM
GDS-204,2026-09-11,STN_A-STN_B,UP_MAIN,2026-09-11 10:21,2026-09-11 10:41,GOODS,HIGH
GDS-205,2026-09-11,STN_A-STN_B,UP_MAIN,2026-09-11 17:51,2026-09-11 18:16,GOODS,MEDIUM
GDS-206,2026-09-11,STN_A-STN_B,UP_MAIN,2026-09-11 09:47,2026-09-11 10:32,GOODS,HIGH
GDS-207,2026-09-11,STN_A-STN_B,DN_MAIN,2026-09-11 16:17,2026-09-11 16:47,GOODS,HIGH
GDS-208,2026-09-11,STN_A-STN_B,DN_MAIN,2026-09-11 14:41,2026-09-11 15:11,GOODS,HIGH
GDS-209,2026-09-11,STN_A-STN_B,DN_MAIN,2026-09-11 00:14,2026-09-11 00:44,GOODS,HIGH
GDS-210,2026-09-11,STN_A-STN_B,DN_MAIN,2026-09-11 14:03,2026-09-11 14:48,GOODS,MEDIUM
GDS-211,2026-09-11,STN_A-STN_B,DN_MAIN,2026-09-11 08:31,2026-09-11 08:56,GOODS,MEDIUM
GDS-212,2026-09-11,STN_B-STN_C,UP_MAIN,2026-09-11 07:31,2026-09-11 08:01,GOODS,HIGH
GDS-213,2026-09-11,STN_B-STN_C,UP_MAIN,2026-09-11 14:24,2026-09-11 14:49,GOODS,MEDIUM
GDS-214,2026-09-11,STN_B-STN_C,UP_MAIN,2026-09-11 09:43,2026-09-11 10:13,GOODS,MEDIUM
GDS-215,2026-09-11,STN_B-STN_C,UP_MAIN,2026-09-11 06:25,2026-09-11 06:45,GOODS,HIGH
GDS-216,2026-09-11,STN_B-STN_C,UP_MAIN,2026-09-11 04:39,2026-09-11 05:09,GOODS,HIGH
GDS-217,2026-09-11,STN_B-STN_C,DN_MAIN,2026-09-11 21:05,2026-09-11 21:50,GOODS,MEDIUM
