defect_id,date_reported,section,line_type,start_km,end_km,defect_type,severity,asset_age_years,est_duration_mins,due_date,available_from_week,is_emergency,rly,div,direction,block_demand_date,is_block_integrated,integrated_department,enforcement_condition,use_corridor,reason_code
TMS-8010,2026-08-21,STN_A-STN_B,UP_MAIN,145.536,145.536,Weld Failure,ROUTINE,33,180,2026-09-11,1,False,NR,DLI,UP,2026-09-11,False,,Flexible,True,PERIODIC_INSPECTION
TMS-8011,2026-08-19,STN_A-STN_B,DN_MAIN,167.252,167.252,Weld Failure,ROUTINE,2,120,2026-09-09,1,False,NR,DLI,DOWN,2026-09-09,True,SMMS,Flexible,True,PERIODIC_INSPECTION
TMS-8012,2026-08-12,STN_C-STN_D,UP_MAIN,142.998,143.298,Sleeper Crack,CRITICAL,9,180,2026-08-15,1,False,NR,DLI,UP,2026-09-01,True,TDMS,Flexible,True,STATUTORY_SAFETY_INSPECTION
TMS-8013,2026-08-20,STN_B-STN_C,DN_MAIN,166.434,166.484,Fishplate Loose,ROUTINE,24,150,2026-09-10,1,False,NR,DLI,DOWN,2026-09-10,True,SMMS,Fixed Time Slot,False,PERIODIC_INSPECTION
TMS-8014,2026-08-27,STN_A-STN_B,UP_MAIN,159.387,159.437,Rail Fracture,CRITICAL,15,120,2026-08-30,1,False,NR,DLI,UP,2026-09-01,True,SMMS,Flexible,True,STATUTORY_SAFETY_INSPECTION
TMS-8015,2026-08-14,STN_A-STN_B,DN_MAIN,158.873,159.173,Rail Fracture,CRITICAL,13,150,2026-08-17,1,False,NR,DLI,DOWN,2026-09-01,True,TDMS,Flexible,True,STATUTORY_SAFETY_INSPECTION
TMS-8016,2026-08-17,STN_A-STN_B,DN_MAIN,163.568,163.568,Ballast Fouling,CRITICAL,7,90,2026-08-20,1,False,NR,DLI,DOWN,2026-09-01,False,,Flexible,True,STATUTORY_SAFETY_INSPECTION
TMS-8017,2026-08-12,STN_C-STN_D,UP_MAIN,156.192,156.192,Fishplate Loose,URGENT,4,60,2026-08-19,1,False,NR,DLI,UP,2026-09-01,False,,Flexible,True,PLANNED_MAINTENANCE
TMS-8018,2026-08-23,STN_A-STN_B,DN_MAIN,145.821,146.121,Sleeper Crack,URGENT,4,60,2026-08-30,1,False,NR,DLI,DOWN,2026-09-01,False,,Flexible,True,PLANNED_MAINTENANCE
TMS-8019,2026-08-12,STN_A-STN_B,DN_MAIN,155.925,156.225,Weld Failure,ROUTINE,10,90,2026-09-02,1,False,NR,DLI,DOWN,2026-09-02,False,,Flexible,True,PERIODIC_INSPECTION
TMS-8020,2026-08-11,STN_C-STN_D,DN_MAIN,166.179,166.179,Ballast Fouling,CRITICAL,33,60,2026-08-14,1,False,NR,DLI,DOWN,2026-09-01,False,,Fixed Time Slot,True,STATUTORY_SAFETY_INSPECTION
TMS-8021,2026-08-26,STN_C-STN_D,UP_MAIN,160.826,160.876,Rail Fracture,URGENT,38,180,2026-09-02,1,False,NR,DLI,UP,2026-09-02,True,TDMS,Flexible,True,PLANNED_MAINTENANCE
TMS-8022,2026-08-17,STN_B-STN_C,UP_MAIN,165.067,165.117,Weld Failure,URGENT,20,60,2026-08-24,1,False,NR,DLI,UP,2026-09-01,True,SMMS,Fixed Time Slot,True,PLANNED_MAINTENANCE
TMS-8023,2026-08-22,STN_A-STN_B,DN_MAIN,149.282,149.382,Sleeper Crack,CRITICAL,19,180,2026-08-25,1,False,NR,DLI,DOWN,2026-09-01,False,,Flexible,True,STATUTORY_SAFETY_INSPECTION
TMS-8024,2026-08-12,STN_A-STN_B,DN_MAIN,162.889,162.889,Weld Failure,ROUTINE,7,60,2026-09-02,1,False,NR,DLI,DOWN,2026-09-02,False,,Flexible,True,PERIODIC_INSPECTION
TMS-8025,2026-08-19,STN_C-STN_D,UP_MAIN,149.861,149.911,Sleeper Crack,ROUTINE,17,120,2026-09-09,1,False,NR,DLI,UP,2026-09-09,False,,Flexible,False,PERIODIC_INSPECTION
TMS-8026,2026-08-29,STN_C-STN_D,DN_MAIN,154.825,154.925,Weld Failure,CRITICAL,9,90,2026-09-01,1,False,NR,DLI,DOWN,2026-09-01,False,,Flexible,True,STATUTORY_SAFETY_INSPECTION
TMS-8027,2026-08-25,STN_C-STN_D,UP_MAIN,140.338,140.338,Fishplate Loose,ROUTINE,24,90,2026-09-15,1,False,NR,DLI,UP,2026-09-15,True,SMMS,Flexible,True,PERIODIC_INSPECTION
TMS-8028,2026-08-23,STN_B-STN_C,UP_MAIN,167.864,167.864,Fishplate Loose,URGENT,7,150,2026-08-30,1,False,NR,DLI,UP,2026-09-01,False,,Flexible,True,PLANNED_MAINTENANCE
TMS-8029,2026-08-16,STN_C-STN_D,UP_MAIN,148.286,148.336,Weld Failure,CRITICAL,12,150,2026-08-19,1,False,NR,DLI,UP,2026-09-01,False,,Flexible,True,STATUTORY_SAFETY_INSPECTION
TMS-8030,2026-08-28,STN_A-STN_B,DN_MAIN,149.338,149.338,Sleeper Crack,URGENT,15,120,2026-09-04,1,False,NR,DLI,DOWN,2026-09-04,True,SMMS,Flexible,True,PLANNED_MAINTENANCE
TMS-8031,2026-08-21,STN_B-STN_C,DN_MAIN,153.946,154.046,Fishplate Loose,CRITICAL,33,120,2026-08-24,1,False,NR,DLI,DOWN,2026-09-01,False,,Fixed Time Slot,True,STATUTORY_SAFETY_INSPECTION
TMS-8032,2026-08-26,STN_C-STN_D,DN_MAIN,146.25,146.35,Weld Failure,CRITICAL,23,150,2026-08-29,1,False,NR,DLI,DOWN,2026-09-01,False,,Flexible,True,STATUTORY_SAFETY_INSPECTION
TMS-8033,2026-08-07,STN_C-STN_D,DN_MAIN,160.181,160.281,Fishplate Loose,CRITICAL,1,90,2026-08-10,1,False,NR,DLI,DOWN,2026-09-01,True,SMMS,Flexible,True,STATUTORY_SAFETY_INSPECTION
TMS-8034,2026-09-08,STN_B-STN_C,DN_MAIN,161.81,161.81,Rail Fracture,CRITICAL,33,150,2026-09-11,2,True,NR,DLI,DOWN,2026-09-11,True,TDMS,Fixed Time Slot,True,EMERGENCY_REPAIR
TMS-8035,2026-09-22,STN_C-STN_D,UP_MAIN,146.714,147.014,Rail Fracture,CRITICAL,40,120,2026-09-25,4,True,NR,DLI,UP,2026-09-25,True,SMMS,Fixed Time Slot,True,EMERGENCY_REPAIR
