train_id,date,section,line,dep_time,arr_time,train_type
PSG-19,2026-09-01,STN_B-STN_C,UP_MAIN,2026-09-01 09:27,2026-09-01 09:37,PASSENGER
PSG-20,2026-09-01,STN_B-STN_C,UP_MAIN,2026-09-01 04:26,2026-09-01 04:38,PASSENGER
PSG-21,2026-09-01,STN_B-STN_C,DN_MAIN,2026-09-01 05:57,2026-09-01 06:05,PASSENGER
PSG-22,2026-09-01,STN_B-STN_C,DN_MAIN,2026-09-01 22:33,2026-09-01 22:41,PASSENGER
PSG-23,2026-09-01,STN_B-STN_C,DN_MAIN,2026-09-01 04:29,2026-09-01 04:37,PASSENGER
PSG-24,2026-09-01,STN_B-STN_C,DN_MAIN,2026-09-01 12:13,2026-09-01 12:23,PASSENGER
PSG-25,2026-09-01,STN_B-STN_C,DN_MAIN,2026-09-01 20:05,2026-09-01 20:17,PASSENGER
PSG-26,2026-09-01,STN_B-STN_C,DN_MAIN,2026-09-01 00:32,2026-09-01 00:42,PASSENGER
PSG-27,2026-09-01,STN_B-STN_C,DN_MAIN,2026-09-01 09:03,2026-09-01 09:11,PASSENGER
PSG-28,2026-09-01,STN_B-STN_C,DN_MAIN,2026-09-01 04:19,2026-09-01 04:34,PASSENGER
PSG-29,2026-09-01,STN_B-STN_C,DN_MAIN,2026-09-01 17:57,2026-09-01 18:05,PASSENGER
PSG-30,2026-09-01,STN_B-STN_C,DN_MAIN,2026-09-01 02:10,2026-09-01 02:25,PASSENGER
PSG-31,2026-09-01,STN_B-STN_C,DN_MAIN,2026-09-01 15:18,2026-09-01 15:30,PASSENGER
PSG-32,2026-09-01,STN_B-STN_C,DN_MAIN,2026-09-01 17:31,2026-09-01 17:39,PASSENGER
PSG-33,2026-09-01,STN_C-STN_D,UP_MAIN,2026-09-01 17:11,2026-09-01 17:21,PASSENGER
PSG-34,2026-09-01,STN_C-STN_D,UP_MAIN,2026-09-01 20:59,2026-09-01 21:07,PASSENGER
PSG-35,2026-09-01,STN_C-STN_D,UP_MAIN,2026-09-01 22:29,2026-09-01 22:41,PASSENGER
PSG-36,2026-09-01,STN_C-STN_D,UP_MAIN,2026-09-01 15:38,2026-09-01 15:46,PASSENGER
PSG-37,2026-09-01,STN_C-STN_D,UP_MAIN,2026-09-01 02:04,2026-09-01 02:19,PASSENGER
PSG-38,2026-09-01,STN_C-STN_D,UP_MAIN,2026-09-01 13:42,2026-09-01 13:57,PASSENGER
PSG-39,2026-09-01,STN_C-STN_D,UP_MAIN,2026-09-01 23:25,2026-09-01 23:33,PASSENGER
PSG-40,2026-09-01,STN_C-STN_D,UP_MAIN,2026-09-01 16:44,2026-09-01 16:59,PASSENGER
PSG-41,2026-09-01,STN_C-STN_D,UP_MAIN,2026-09-01 02:30,2026-09-01 02:38,PASSENGER
PSG-42,2026-09-01,STN_C-STN_D,DN_MAIN,2026-09-01 20:45,2026-09-01 20:55,PASSENGER
PSG-43,2026-09-01,STN_C-STN_D,DN_MAIN,2026-09-01 02:14,2026-09-01 02:24,PASSENGER
PSG-44,2026-09-01,STN_C-STN_D,DN_MAIN,2026-09-01 09:23,2026-09-01 09:35,PASSENGER
PSG-45,2026-09-01,STN_C-STN_D,DN_MAIN,2026-09-01 13:00,2026-09-01 13:12,PASSENGER
PSG-46,2026-09-01,STN_C-STN_D,DN_MAIN,2026-09-01 15:29,2026-09-01 15:44,PASSENGER
PSG-47,2026-09-01,STN_C-STN_D,DN_MAIN,2026-09-01 03:23,2026-09-01 03:31,PASSENGER
PSG-48,2026-09-01,STN_C-STN_D,DN_MAIN,2026-09-01 22:20,2026-09-01 22:30,PASSENGER
PSG-49,2026-09-01,STN_C-STN_D,DN_MAIN,2026-09-01 14:40,2026-09-01 14:55,PASSENGER
PSG-50,2026-09-02,STN_A-STN_B,UP_MAIN,2026-09-02 14:07,2026-09-02 14:19,PASSENGER
PSG-51,2026-09-02,STN_A-STN_B,UP_MAIN,2026-09-02 15:28,2026-09-02 15:43,PASSENGER
PSG-52,2026-09-02,STN_A-STN_B,UP_MAIN,2026-09-02 14:11,2026-09-02 14:19,PASSENGER
PSG-53,2026-09-02,STN_A-STN_B,UP_MAIN,2026-09-02 10:40,2026-09-02 10:55,PASSENGER
PSG-54,2026-09-02,STN_A-STN_B,UP_MAIN,2026-09-02 10:40,2026-09-02 10:52,PASSENGER
PSG-55,2026-09-02,STN_A-STN_B,UP_MAIN,2026-09-02 12:46,2026-09-02 12:56,PASSENGER
PSG-56,2026-09-02,STN_A-STN_B,UP_MAIN,2026-09-02 23:26,2026-09-02 23:41,PASSENGER
PSG-57,2026-09-02,STN_A-STN_B,DN_MAIN,2026-09-02 03:06,2026-09-02 03:14,PASSENGER
PSG-58,2026-09-02,STN_A-STN_B,DN_MAIN,2026-09-02 03:10,2026-09-02 03:25,PASSENGER
PSG-59,2026-09-02,STN_A-STN_B,DN_MAIN,2026-09-02 03:17,2026-09-02 03:29,PASSENGER
PSG-60,2026-09-02,STN_A-STN_B,DN_MAIN,2026-09-02 04:26,2026-09-02 04:34,PASSENGER
PSG-61,2026-09-02,STN_A-STN_B,DN_MAIN,2026-09-02 20:01,2026-09-02 20:13,PASSENGER
PSG-62,2026-09-02,STN_A-STN_B,DN_MAIN,2026-09-02 22:52,2026-09-02 23:00,PASSENGER
PSG-63,2026-09-02,STN_B-STN_C,UP_MAIN,2026-09-02 12:04,2026-09-02 12:19,PASSENGER
PSG-64,2026-09-02,STN_B-STN_C,UP_MAIN,2026-09-02 01:45,2026-09-02 01:57,PASSENGER
PSG-65,2026-09-02,STN_B-STN_C,UP_MAIN,2026-09-02 20:29,2026-09-02 20:41,PASSENGER
PSG-66,2026-09-02,STN_B-STN_C,UP_MAIN,2026-09-02 12:00,2026-09-02 12:08,PASSENGER
PSG-67,2026-09-02,STN_B-STN_C,UP_MAIN,2026-09-02 19:43,2026-09-02 19:53,PASSENGER
PSG-68,2026-09-02,STN_B-STN_C,UP_MAIN,2026-09-02 05:16,2026-09-02 05:31,PASSENGER
PSG-69,2026-09-02,STN_B-STN_C,UP_MAIN,2026-09-02 07:39,2026-09-02 07:47,PASSENGER
PSG-70,2026-09-02,STN_B-STN_C,UP_MAIN,2026-09-02 11:57,2026-09-02 12:09,PASSENGER
PSG-71,2026-09-02,STN_B-STN_C,UP_MAIN,2026-09-02 03:55,2026-09-02 04:07,PASSENGER
PSG-72,2026-09-02,STN_B-STN_C,DN_MAIN,2026-09-02 07:43,2026-09-02 07:58,PASSENGER
PSG-73,2026-09-02,STN_B-STN_C,DN_MAIN,2026-09-02 19:08,2026-09-02 19:16,PASSENGER
PSG-74,2026-09-02,STN_B-STN_C,DN_MAIN,2026-09-02 20:47,2026-09-02 20:59,PASSENGER
PSG-75,2026-09-02,STN_B-STN_C,DN_MAIN,2026-09-02 00:59,2026-09-02 01:09,PASSENGER
PSG-76,2026-09-02,STN_B-STN_C,DN_MAIN,2026-09-02 09:19,2026-09-02 09:31,PASSENGER
PSG-77,2026-09-02,STN_B-STN_C,DN_MAIN,2026-09-02 11:35,2026-09-02 11:47,PASSENGER
PSG-78,2026-09-02,STN_B-STN_C,DN_MAIN,2026-09-02 00:12,2026-09-02 00:22,PASSENGER
PSG-79,2026-09-02,STN_B-STN_C,DN_MAIN,2026-09-02 04:53,2026-09-02 05:08,PASSENGER
PSG-80,2026-09-02,STN_B-STN_C,DN_MAIN,2026-09-02 02:22,2026-09-02 02:32,PASSENGER
PSG-81,2026-09-02,STN_B-STN_C,DN_MAIN,2026-09-02 21:36,2026-09-02 21:44,PASSENGER
PSG-82,2026-09-02,STN_C-STN_D,UP_MAIN,2026-09-02 18:06,2026-09-02 18:16,PASSENGER
PSG-83,2026-09-02,STN_C-STN_D,UP_MAIN,2026-09-02 12:50,2026-09-02 13:05,PASSENGER
PSG-84,2026-09-02,STN_C-STN_D,UP_MAIN,2026-09-02 15:29,2026-09-02 15:41,PASSENGER
PSG-85,2026-09-02,STN_C-STN_D,UP_MAIN,2026-09-02 05:22,2026-09-02 05:34,PASSENGER
PSG-86,2026-09-02,STN_C-STN_D,UP_MAIN,2026-09-02 10:38,2026-09-02 10:50,PASSENGER
PSG-87,2026-09-02,STN_C-STN_D,UP_MAIN,2026-09-02 19:22,2026-09-02 19:30,PASSENGER
PSG-88,2026-09-02,STN_C-STN_D,DN_MAIN,2026-09-02 05:18,2026-09-02 05:28,PASSENGER
PSG-89,2026-09-02,STN_C-STN_D,DN_MAIN,2026-09-02 21:05,2026-09-02 21:13,PASSENGER
PSG-90,2026-09-02,STN_C-STN_D,DN_MAIN,2026-09-02 23:00,2026-09-02 23:08,PASSENGER
PSG-91,2026-09-02,STN_C-STN_D,DN_MAIN,2026-09-02 09:17,2026-09-02 09:32,PASSENGER
PSG-92,2026-09-02,STN_C-STN_D,DN_MAIN,2026-09-02 22:35,2026-09-02 22:50,PASSENGER
PSG-93,2026-09-02,STN_C-STN_D,DN_MAIN,2026-09-02 16:34,2026-09-02 16:49,PASSENGER
PSG-94,2026-09-03,STN_A-STN_B,UP_MAIN,2026-09-03 09:19,2026-09-03 09:29,PASSENGER
PSG-95,2026-09-03,STN_A-STN_B,UP_MAIN,2026-09-03 17:29,2026-09-03 17:37,PASSENGER
PSG-96,2026-09-03,STN_A-STN_B,UP_MAIN,2026-09-03 11:46,2026-09-03 12:01,PASSENGER
PSG-97,2026-09-03,STN_A-STN_B,UP_MAIN,2026-09-03 03:47,2026-09-03 03:59,PASSENGER
PSG-98,2026-09-03,STN_A-STN_B,UP_MAIN,2026-09-03 23:08,2026-09-03 23:23,PASSENGER
PSG-99,2026-09-03,STN_A-STN_B,UP_MAIN,2026-09-03 17:59,2026-09-03 18:11,PASSENGER
PSG-100,2026-09-03,STN_A-STN_B,UP_MAIN,2026-09-03 01:33,2026-09-03 01:43,PASSENGER
PSG-101,2026-09-03,STN_A-STN_B,UP_MAIN,2026-09-03 13:29,2026-09-03 13:37,PASSENGER
PSG-102,2026-09-03,STN_A-STN_B,UP_MAIN,2026-09-03 00:15,2026-09-03 00:25,PASSENGER
PSG-103,2026-09-03,STN_A-STN_B,DN_MAIN,2026-09-03 07:12,2026-09-03 07:22,PASSENGER
PSG-104,2026-09-03,STN_A-STN_B,DN_MAIN,2026-09-03 08:43,2026-09-03 08:55,PASSENGER
PSG-105,2026-09-03,STN_A-STN_B,DN_MAIN,2026-09-03 11:11,2026-09-03 11:19,PASSENGER
PSG-106,2026-09-03,STN_A-STN_B,DN_MAIN,2026-09-03 00:15,2026-09-03 00:30,PASSENGER
PSG-107,2026-09-03,STN_A-STN_B,DN_MAIN,2026-09-03 14:41,2026-09-03 14:51,PASSENGER
PSG-108,2026-09-03,STN_A-STN_B,DN_MAIN,2026-09-03 04:24,2026-09-03 04:39,PASSENGER
PSG-109,2026-09-03,STN_A-STN_B,DN_MAIN,2026-09-03 18:10,2026-09-03 18:20,PASSENGER
PSG-110,2026-09-03,STN_A-STN_B,DN_MAIN,2026-09-03 17:04,2026-09-03 17:16,PASSENGER
PSG-111,2026-09-03,STN_B-STN_C,UP_MAIN,2026-09-03 13:33,2026-09-03 13:41,PASSENGER
PSG-112,2026-09-03,STN_B-STN_C,UP_MAIN,2026-09-03 14:53,2026-09-03 15:01,PASSENGER
PSG-113,2026-09-03,STN_B-STN_C,UP_MAIN,2026-09-03 15:41,2026-09-03 15:49,PASSENGER
PSG-114,2026-09-03,STN_B-STN_C,UP_MAIN,2026-09-03 10:41,2026-09-03 10:56,PASSENGER
PSG-115,2026-09-03,STN_B-STN_C,UP_MAIN,2026-09-03 19:34,2026-09-03 19:49,PASSENGER
PSG-116,2026-09-03,STN_B-STN_C,UP_MAIN,2026-09-03 21:51,2026-09-03 22:06,PASSENGER
PSG-117,2026-09-03,STN_B-STN_C,DN_MAIN,2026-09-03 03:55,2026-09-03 04:10,PASSENGER
PSG-118,2026-09-03,STN_B-STN_C,DN_MAIN,2026-09-03 00:42,2026-09-03 00:54,PASSENGER
PSG-119,2026-09-03,STN_B-STN_C,DN_MAIN,2026-09-03 05:51,2026-09-03 06:06,PASSENGER
PSG-120,2026-09-03,STN_B-STN_C,DN_MAIN,2026-09-03 23:32,2026-09-03 23:44,PASSENGER
PSG-121,2026-09-03,STN_B-STN_C,DN_MAIN,2026-09-03 03:00,2026-09-03 03:15,PASSENGER
PSG-122,2026-09-03,STN_B-STN_C,DN_MAIN,2026-09-03 03:36,2026-09-03 03:46,PASSENGER
PSG-123,2026-09-03,STN_B-STN_C,DN_MAIN,2026-09-03 14:52,2026-09-03 15:07,PASSENGER
PSG-124,2026-09-03,STN_B-STN_C,DN_MAIN,2026-09-03 17:53,2026-09-03 18:01,PASSENGER
PSG-125,2026-09-03,STN_C-STN_D,UP_MAIN,2026-09-03 10:35,2026-09-03 10:47,PASSENGER
PSG-126,2026-09-03,STN_C-STN_D,UP_MAIN,2026-09-03 07:33,2026-09-03 07:45,PASSENGER
PSG-127,2026-09-03,STN_C-STN_D,UP_MAIN,2026-09-03 05:44,2026-09-03 05:52,PASSENGER
PSG-128,2026-09-03,STN_C-STN_D,UP_MAIN,2026-09-03 17:25,2026-09-03 17:33,PASSENGER
PSG-129,2026-09-03,STN_C-STN_D,UP_MAIN,2026-09-03 18:06,2026-09-03 18:16,PASSENGER
PSG-130,2026-09-03,STN_C-STN_D,UP_MAIN,2026-09-03 11:55,2026-09-03 12:07,PASSENGER
PSG-131,2026-09-03,STN_C-STN_D,UP_MAIN,2026-09-03 22:01,2026-09-03 22:11,PASSENGER
PSG-132,2026-09-03,STN_C-STN_D,UP_MAIN,2026-09-03 08:03,2026-09-03 08:11,PASSENGER
PSG-133,2026-09-03,STN_C-STN_D,UP_MAIN,2026-09-03 04:59,2026-09-03 05:11,PASSENGER
PSG-134,2026-09-03,STN_C-STN_D,DN_MAIN,2026-09-03 05:55,2026-09-03 06:05,PASSENGER
PSG-135,2026-09-03,STN_C-STN_D,DN_MAIN,2026-09-03 22:22,2026-09-03 22:30,PASSENGER
PSG-136,2026-09-03,STN_C-STN_D,DN_MAIN,2026-09-03 06:02,2026-09-03 06:17,PASSENGER
PSG-137,2026-09-03,STN_C-STN_D,DN_MAIN,2026-09-03 15:50,2026-09-03 16:05,PASSENGER
PSG-138,2026-09-03,STN_C-STN_D,DN_MAIN,2026-09-03 23:14,2026-09-03 23:26,PASSENGER
PSG-139,2026-09-03,STN_C-STN_D,DN_MAIN,2026-09-03 21:24,2026-09-03 21:36,PASSENGER
PSG-140,2026-09-03,STN_C-STN_D,DN_MAIN,2026-09-03 05:09,2026-09-03 05:24,PASSENGER
PSG-141,2026-09-04,STN_A-STN_B,UP_MAIN,2026-09-04 16:00,2026-09-04 16:15,PASSENGER
PSG-142,2026-09-04,STN_A-STN_B,UP_MAIN,2026-09-04 21:33,2026-09-04 21:45,PASSENGER
PSG-143,2026-09-04,STN_A-STN_B,UP_MAIN,2026-09-04 09:22,2026-09-04 09:30,PASSENGER
PSG-144,2026-09-04,STN_A-STN_B,UP_MAIN,2026-09-04 12:00,2026-09-04 12:08,PASSENGER
PSG-145,2026-09-04,STN_A-STN_B,UP_MAIN,2026-09-04 10:35,2026-09-04 10:50,PASSENGER
PSG-146,2026-09-04,STN_A-STN_B,UP_MAIN,2026-09-04 15:25,2026-09-04 15:33,PASSENGER
PSG-147,2026-09-04,STN_A-STN_B,DN_MAIN,2026-09-04 12:35,2026-09-04 12:47,PASSENGER
PSG-148,2026-09-04,STN_A-STN_B,DN_MAIN,2026-09-04 02:37,2026-09-04 02:45,PASSENGER
PSG-149,2026-09-04,STN_A-STN_B,DN_MAIN,2026-09-04 20:59,2026-09-04 21:14,PASSENGER
PSG-150,2026-09-04,STN_A-STN_B,DN_MAIN,2026-09-04 15:47,2026-09-04 15:55,PASSENGER
PSG-151,2026-09-04,STN_A-STN_B,DN_MAIN,2026-09-04 15:21,2026-09-04 15:31,PASSENGER
PSG-152,2026-09-04,STN_A-STN_B,DN_MAIN,2026-09-04 10:58,2026-09-04 11:13,PASSENGER
PSG-153,2026-09-04,STN_B-STN_C,UP_MAIN,2026-09-04 05:08,2026-09-04 05:16,PASSENGER
PSG-154,2026-09-04,STN_B-STN_C,UP_MAIN,2026-09-04 15:22,2026-09-04 15:30,PASSENGER
PSG-155,2026-09-04,STN_B-STN_C,UP_MAIN,2026-09-04 11:43,2026-09-04 11:51,PASSENGER
PSG-156,2026-09-04,STN_B-STN_C,UP_MAIN,2026-09-04 17:13,2026-09-04 17:23,PASSENGER
PSG-157,2026-09-04,STN_B-STN_C,UP_MAIN,2026-09-04 01:20,2026-09-04 01:30,PASSENGER
PSG-158,2026-09-04,STN_B-STN_C,UP_MAIN,2026-09-04 14:56,2026-09-04 15:11,PASSENGER
PSG-159,2026-09-04,STN_B-STN_C,UP_MAIN,2026-09-04 17:53,2026-09-04 18:03,PASSENGER
PSG-160,2026-09-04,STN_B-STN_C,UP_MAIN,2026-09-04 12:25,2026-09-04 12:37,PASSENGER
PSG-161,2026-09-04,STN_B-STN_C,UP_MAIN,2026-09-04 09:39,2026-09-04 09:54,PASSENGER
PSG-162,2026-09-04,STN_B-STN_C,UP_MAIN,2026-09-04 13:57,2026-09-04 14:09,PASSENGER
PSG-163,2026-09-04,STN_B-STN_C,DN_MAIN,2026-09-04 20:24,2026-09-04 20:32,PASSENGER
PSG-164,2026-09-04,STN_B-STN_C,DN_MAIN,2026-09-04 21:32,2026-09-04 21:44,PASSENGER
PSG-165,2026-09-04,STN_B-STN_C,DN_MAIN,2026-09-04 02:14,2026-09-04 02:26,PASSENGER
PSG-166,2026-09-04,STN_B-STN_C,DN_MAIN,2026-09-04 03:13,2026-09-04 03:28,PASSENGER
PSG-167,2026-09-04,STN_B-STN_C,DN_MAIN,2026-09-04 09:41,2026-09-04 09:53,PASSENGER
PSG-168,2026-09-04,STN_B-STN_C,DN_MAIN,2026-09-04 22:24,2026-09-04 22:34,PASSENGER
PSG-169,2026-09-04,STN_B-STN_C,DN_MAIN,2026-09-04 11:22,2026-09-04 11:30,PASSENGER
PSG-170,2026-09-04,STN_B-STN_C,DN_MAIN,2026-09-04 19:53,2026-09-04 20:03,PASSENGER
PSG-171,2026-09-04,STN_B-STN_C,DN_MAIN,2026-09-04 11:56,2026-09-04 12:08,PASSENGER
PSG-172,2026-09-04,STN_B-STN_C,DN_MAIN,2026-09-04 22:23,2026-09-04 22:38,PASSENGER
PSG-173,2026-09-04,STN_B-STN_C,DN_MAIN,2026-09-04 04:24,2026-09-04 04:32,PASSENGER
PSG-174,2026-09-04,STN_C-STN_D,UP_MAIN,2026-09-04 19:04,2026-09-04 19:19,PASSENGER
PSG-175,2026-09-04,STN_C-STN_D,UP_MAIN,2026-09-04 21:57,2026-09-04 22:09,PASSENGER
PSG-176,2026-09-04,STN_C-STN_D,UP_MAIN,2026-09-04 04:21,2026-09-04 04:29,PASSENGER
PSG-177,2026-09-04,STN_C-STN_D,UP_MAIN,2026-09-04 22:03,2026-09-04 22:18,PASSENGER
PSG-178,2026-09-04,STN_C-STN_D,UP_MAIN,2026-09-04 17:21,2026-09-04 17:33,PASSENGER
PSG-179,2026-09-04,STN_C-STN_D,UP_MAIN,2026-09-04 00:37,2026-09-04 00:49,PASSENGER
PSG-180,2026-09-04,STN_C-STN_D,UP_MAIN,2026-09-04 10:32,2026-09-04 10:42,PASSENGER
PSG-181,2026-09-04,STN_C-STN_D,UP_MAIN,2026-09-04 07:18,2026-09-04 07:30,PASSENGER
PSG-182,2026-09-04,STN_C-STN_D,DN_MAIN,2026-09-04 16:35,2026-09-04 16:45,PASSENGER
PSG-183,2026-09-04,STN_C-STN_D,DN_MAIN,2026-09-04 07:43,2026-09-04 07:53,PASSENGER
PSG-184,2026-09-04,STN_C-STN_D,DN_MAIN,2026-09-04 05:17,2026-09-04 05:25,PASSENGER
PSG-185,2026-09-04,STN_C-STN_D,DN_MAIN,2026-09-04 10:05,2026-09-04 10:13,PASSENGER
PSG-186,2026-09-04,STN_C-STN_D,DN_MAIN,2026-09-04 17:19,2026-09-04 17:27,PASSENGER
PSG-187,2026-09-04,STN_C-STN_D,DN_MAIN,2026-09-04 22:35,2026-09-04 22:47,PASSENGER
PSG-188,2026-09-04,STN_C-STN_D,DN_MAIN,2026-09-04 21:05,2026-09-04 21:15,PASSENGER
PSG-189,2026-09-04,STN_C-STN_D,DN_MAIN,2026-09-04 20:23,2026-09-04 20:38,PASSENGER
PSG-190,2026-09-04,STN_C-STN_D,DN_MAIN,2026-09-04 05:15,2026-09-04 05:25,PASSENGER
PSG-191,2026-09-04,STN_C-STN_D,DN_MAIN,2026-09-04 06:10,2026-09-04 06:20,PASSENGER
PSG-192,2026-09-04,STN_C-STN_D,DN_MAIN,2026-09-04 14:56,2026-09-04 15:04,PASSENGER
PSG-193,2026-09-04,STN_C-STN_D,DN_MAIN,2026-09-04 14:01,2026-09-04 14:13,PASSENGER
PSG-194,2026-09-05,STN_A-STN_B,UP_MAIN,2026-09-05 08:06,2026-09-05 08:21,PASSENGER
PSG-195,2026-09-05,STN_A-STN_B,UP_MAIN,2026-09-05 20:50,2026-09-05 21:02,PASSENGER
PSG-196,2026-09-05,STN_A-STN_B,UP_MAIN,2026-09-05 15:19,2026-09-05 15:29,PASSENGER
PSG-197,2026-09-05,STN_A-STN_B,UP_MAIN,2026-09-05 18:13,2026-09-05 18:23,PASSENGER
PSG-198,2026-09-05,STN_A-STN_B,UP_MAIN,2026-09-05 10:33,2026-09-05 10:48,PASSENGER
PSG-199,2026-09-05,STN_A-STN_B,UP_MAIN,2026-09-05 06:37,2026-09-05 06:49,PASSENGER
PSG-200,2026-09-05,STN_A-STN_B,UP_MAIN,2026-09-05 23:09,2026-09-05 23:24,PASSENGER
PSG-201,2026-09-05,STN_A-STN_B,UP_MAIN,2026-09-05 15:45,2026-09-05 15:57,PASSENGER
PSG-202,2026-09-05,STN_A-STN_B,UP_MAIN,2026-09-05 13:02,2026-09-05 13:17,PASSENGER
PSG-203,2026-09-05,STN_A-STN_B,UP_MAIN,2026-09-05 05:31,2026-09-05 05:41,PASSENGER
PSG-204,2026-09-05,STN_A-STN_B,UP_MAIN,2026-09-05 20:38,2026-09-05 20:48,PASSENGER
PSG-205,2026-09-05,STN_A-STN_B,DN_MAIN,2026-09-05 08:32,2026-09-05 08:40,PASSENGER
PSG-206,2026-09-05,STN_A-STN_B,DN_MAIN,2026-09-05 21:53,2026-09-05 22:08,PASSENGER
PSG-207,2026-09-05,STN_A-STN_B,DN_MAIN,2026-09-05 12:40,2026-09-05 12:48,PASSENGER
PSG-208,2026-09-05,STN_A-STN_B,DN_MAIN,2026-09-05 17:36,2026-09-05 17:44,PASSENGER
PSG-209,2026-09-05,STN_A-STN_B,DN_MAIN,2026-09-05 09:43,2026-09-05 09:51,PASSENGER
PSG-210,2026-09-05,STN_A-STN_B,DN_MAIN,2026-09-05 05:28,2026-09-05 05:40,PASSENGER
PSG-211,2026-09-05,STN_A-STN_B,DN_MAIN,2026-09-05 15:20,2026-09-05 15:30,PASSENGER
PSG-212,2026-09-05,STN_A-STN_B,DN_MAIN,2026-09-05 14:55,2026-09-05 15:03,PASSENGER
PSG-213,2026-09-05,STN_A-STN_B,DN_MAIN,2026-09-05 07:34,2026-09-05 07:49,PASSENGER
PSG-214,2026-09-05,STN_A-STN_B,DN_MAIN,2026-09-05 11:55,2026-09-05 12:03,PASSENGER
PSG-215,2026-09-05,STN_A-STN_B,DN_MAIN,2026-09-05 14:09,2026-09-05 14:17,PASSENGER
PSG-216,2026-09-05,STN_A-STN_B,DN_MAIN,2026-09-05 13:31,2026-09-05 13:43,PASSENGER
PSG-217,2026-09-05,STN_B-STN_C,UP_MAIN,2026-09-05 13:10,2026-09-05 13:18,PASSENGER
PSG-218,2026-09-05,STN_B-STN_C,UP_MAIN,2026-09-05 12:47,2026-09-05 12:57,PASSENGER
PSG-219,2026-09-05,STN_B-STN_C,UP_MAIN,2026-09-05 00:57,2026-09-05 01:09,PASSENGER
PSG-220,2026-09-05,STN_B-STN_C,UP_MAIN,2026-09-05 03:22,2026-09-05 03:34,PASSENGER
PSG-221,2026-09-05,STN_B-STN_C,UP_MAIN,2026-09-05 04:59,2026-09-05 05:09,PASSENGER
PSG-222,2026-09-05,STN_B-STN_C,UP_MAIN,2026-09-05 01:18,2026-09-05 01:30,PASSENGER
PSG-223,2026-09-05,STN_B-STN_C,UP_MAIN,2026-09-05 16:07,2026-09-05 16:17,PASSENGER
PSG-224,2026-09-05,STN_B-STN_C,DN_MAIN,2026-09-05 16:00,2026-09-05 16:15,PASSENGER
PSG-225,2026-09-05,STN_B-STN_C,DN_MAIN,2026-09-05 21:00,2026-09-05 21:08,PASSENGER
PSG-226,2026-09-05,STN_B-STN_C,DN_MAIN,2026-09-05 02:42,2026-09-05 02:50,PASSENGER
PSG-227,2026-09-05,STN_B-STN_C,DN_MAIN,2026-09-05 08:44,2026-09-05 08:54,PASSENGER
PSG-228,2026-09-05,STN_B-STN_C,DN_MAIN,2026-09-05 05:06,2026-09-05 05:21,PASSENGER
PSG-229,2026-09-05,STN_B-STN_C,DN_MAIN,2026-09-05 03:47,2026-09-05 03:59,PASSENGER
PSG-230,2026-09-05,STN_B-STN_C,DN_MAIN,2026-09-05 08:06,2026-09-05 08:18,PASSENGER
PSG-231,2026-09-05,STN_B-STN_C,DN_MAIN,2026-09-05 04:09,2026-09-05 04:17,PASSENGER
PSG-232,2026-09-05,STN_B-STN_C,DN_MAIN,2026-09-05 08:08,2026-09-05 08:23,PASSENGER
