task_id,dept,severity,duration_mins,asset_age_years,coa_section,line,start_km,end_km,date_reported,due_date,available_from_week,is_emergency,power_block_required,defect_type,rly,div,direction,block_demand_date,is_block_integrated,integrated_department,enforcement_condition,use_corridor,reason_code
TMS-8012,TMS,CRITICAL,180,9,STN_A-STN_B,UP_MAIN,142.998,143.298,2026-08-12,2026-08-15,1,False,False,Sleeper Crack,NR,DLI,UP,2026-09-01,True,TDMS,Flexible,True,STATUTORY_SAFETY_INSPECTION
TMS-8013,TMS,ROUTINE,150,24,STN_C-STN_D,DN_MAIN,166.434,166.484,2026-08-20,2026-09-10,1,False,False,Fishplate Loose,NR,DLI,DOWN,2026-09-10,True,SMMS,Fixed Time Slot,False,PERIODIC_INSPECTION
TMS-8014,TMS,CRITICAL,120,15,STN_B-STN_C,UP_MAIN,159.387,159.437,2026-08-27,2026-08-30,1,False,False,Rail Fracture,NR,DLI,UP,2026-09-01,True,SMMS,Flexible,True,STATUTORY_SAFETY_INSPECTION
TMS-8015,TMS,CRITICAL,150,13,STN_B-STN_C,DN_MAIN,158.873,159.173,2026-08-14,2026-08-17,1,False,False,Rail Fracture,NR,DLI,DOWN,2026-09-01,True,TDMS,Flexible,True,STATUTORY_SAFETY_INSPECTION
TMS-8016,TMS,CRITICAL,90,7,STN_B-STN_C,DN_MAIN,163.568,163.568,2026-08-17,2026-08-20,1,False,False,Ballast Fouling,NR,DLI,DOWN,2026-09-01,False,,Flexible,True,STATUTORY_SAFETY_INSPECTION
TMS-8017,TMS,URGENT,60,4,STN_B-STN_C,UP_MAIN,156.192,156.192,2026-08-12,2026-08-19,1,False,False,Fishplate Loose,NR,DLI,UP,2026-09-01,False,,Flexible,True,PLANNED_MAINTENANCE
TMS-8018,TMS,URGENT,60,4,STN_A-STN_B,DN_MAIN,145.821,146.121,2026-08-23,2026-08-30,1,False,False,Sleeper Crack,NR,DLI,DOWN,2026-09-01,False,,Flexible,True,PLANNED_MAINTENANCE
TMS-8019,TMS,ROUTINE,90,10,STN_B-STN_C,DN_MAIN,155.925,156.225,2026-08-12,2026-09-02,1,False,False,Weld Failure,NR,DLI,DOWN,2026-09-02,False,,Flexible,True,PERIODIC_INSPECTION
TMS-8020,TMS,CRITICAL,60,33,STN_C-STN_D,DN_MAIN,166.179,166.179,2026-08-11,2026-08-14,1,False,False,Ballast Fouling,NR,DLI,DOWN,2026-09-01,False,,Fixed Time Slot,True,STATUTORY_SAFETY_INSPECTION
TMS-8021,TMS,URGENT,180,38,STN_B-STN_C,UP_MAIN,160.826,160.876,2026-08-26,2026-09-02,1,False,False,Rail Fracture,NR,DLI,UP,2026-09-02,True,TDMS,Flexible,True,PLANNED_MAINTENANCE
TMS-8022,TMS,URGENT,60,20,STN_C-STN_D,UP_MAIN,165.067,165.117,2026-08-17,2026-08-24,1,False,False,Weld Failure,NR,DLI,UP,2026-09-01,True,SMMS,Fixed Time Slot,True,PLANNED_MAINTENANCE
TMS-8023,TMS,CRITICAL,180,19,STN_A-STN_B,DN_MAIN,149.282,149.382,2026-08-22,2026-08-25,1,False,False,Sleeper Crack,NR,DLI,DOWN,2026-09-01,False,,Flexible,True,STATUTORY_SAFETY_INSPECTION
TMS-8024,TMS,ROUTINE,60,7,STN_B-STN_C,DN_MAIN,162.889,162.889,2026-08-12,2026-09-02,1,False,False,Weld Failure,NR,DLI,DOWN,2026-09-02,False,,Flexible,True,PERIODIC_INSPECTION
TMS-8025,TMS,ROUTINE,120,17,STN_A-STN_B,UP_MAIN,149.861,149.911,2026-08-19,2026-09-09,1,False,False,Sleeper Crack,NR,DLI,UP,2026-09-09,False,,Flexible,False,PERIODIC_INSPECTION
TMS-8026,TMS,CRITICAL,90,9,STN_B-STN_C,DN_MAIN,154.825,154.925,2026-08-29,2026-09-01,1,False,False,Weld Failure,NR,DLI,DOWN,2026-09-01,False,,Flexible,True,STATUTORY_SAFETY_INSPECTION
TMS-8027,TMS,ROUTINE,90,24,STN_A-STN_B,UP_MAIN,140.338,140.338,2026-08-25,2026-09-15,1,False,False,Fishplate Loose,NR,DLI,UP,2026-09-15,True,SMMS,Flexible,True,PERIODIC_INSPECTION
TMS-8028,TMS,URGENT,150,7,STN_C-STN_D,UP_MAIN,167.864,167.864,2026-08-23,2026-08-30,1,False,False,Fishplate Loose,NR,DLI,UP,2026-09-01,False,,Flexible,True,PLANNED_MAINTENANCE
TMS-8029,TMS,CRITICAL,150,12,STN_A-STN_B,UP_MAIN,148.286,148.336,2026-08-16,2026-08-19,1,False,False,Weld Failure,NR,DLI,UP,2026-09-01,False,,Flexible,True,STATUTORY_SAFETY_INSPECTION
TMS-8030,TMS,URGENT,120,15,STN_A-STN_B,DN_MAIN,149.338,149.338,2026-08-28,2026-09-04,1,False,False,Sleeper Crack,NR,DLI,DOWN,2026-09-04,True,SMMS,Flexible,True,PLANNED_MAINTENANCE
TMS-8031,TMS,CRITICAL,120,33,STN_B-STN_C,DN_MAIN,153.946,154.046,2026-08-21,2026-08-24,1,False,False,Fishplate Loose,NR,DLI,DOWN,2026-09-01,False,,Fixed Time Slot,True,STATUTORY_SAFETY_INSPECTION
TMS-8032,TMS,CRITICAL,150,23,STN_A-STN_B,DN_MAIN,146.25,146.35,2026-08-26,2026-08-29,1,False,False,Weld Failure,NR,DLI,DOWN,2026-09-01,False,,Flexible,True,STATUTORY_SAFETY_INSPECTION
TMS-8033,TMS,CRITICAL,90,1,STN_B-STN_C,DN_MAIN,160.181,160.281,2026-08-07,2026-08-10,1,False,False,Fishplate Loose,NR,DLI,DOWN,2026-09-01,True,SMMS,Flexible,True,STATUTORY_SAFETY_INSPECTION
TMS-8034,TMS,CRITICAL,150,33,STN_B-STN_C,DN_MAIN,161.81,161.81,2026-09-08,2026-09-11,2,True,False,Rail Fracture,NR,DLI,DOWN,2026-09-11,True,TDMS,Fixed Time Slot,True,EMERGENCY_REPAIR
TMS-8035,TMS,CRITICAL,120,40,STN_A-STN_B,UP_MAIN,146.714,147.014,2026-09-22,2026-09-25,4,True,False,Rail Fracture,NR,DLI,UP,2026-09-25,True,SMMS,Fixed Time Slot,True,EMERGENCY_REPAIR
SMM-440,SMMS,ROUTINE,90,21,STN_A-STN_B,UP_MAIN,142.1,142.1,2026-08-10,2026-08-31,1,False,False,Signal,NR,DLI,UP,2026-09-01,True,TMS,Flexible,True,PERIODIC_INSPECTION
SMM-441,SMMS,ROUTINE,30,10,STN_A-STN_B,UP_MAIN,142.12,142.12,2026-08-27,2026-09-17,1,False,False,Signal,NR,DLI,UP,2026-09-17,False,,Flexible,True,PERIODIC_INSPECTION
SMM-442,SMMS,CRITICAL,90,2,STN_B-STN_C,DN_MAIN,155.0,155.0,2026-08-29,2026-09-01,1,False,False,Track Circuit,NR,DLI,DOWN,2026-09-01,False,,Flexible,True,STATUTORY_SAFETY_INSPECTION
SMM-443,SMMS,ROUTINE,90,13,STN_C-STN_D,UP_MAIN,168.3,168.3,2026-08-07,2026-08-28,1,False,False,Level Crossing Gate,NR,DLI,UP,2026-09-01,True,TMS,Flexible,True,PERIODIC_INSPECTION
SMM-444,SMMS,CRITICAL,30,23,STN_C-STN_D,UP_MAIN,169.05,169.05,2026-08-24,2026-08-27,1,False,False,Level Crossing Gate,NR,DLI,UP,2026-09-01,False,,Flexible,True,STATUTORY_SAFETY_INSPECTION
SMM-445,SMMS,ROUTINE,90,18,STN_A-STN_B,UP_MAIN,142.1,142.1,2026-08-13,2026-09-03,1,False,False,Signal,NR,DLI,UP,2026-09-03,False,,Flexible,True,PERIODIC_INSPECTION
SMM-446,SMMS,CRITICAL,45,15,STN_A-STN_B,UP_MAIN,142.12,142.12,2026-08-14,2026-08-17,1,False,False,Signal,NR,DLI,UP,2026-09-01,False,,Flexible,True,STATUTORY_SAFETY_INSPECTION
SMM-447,SMMS,URGENT,45,3,STN_B-STN_C,DN_MAIN,155.0,155.0,2026-08-15,2026-08-22,1,False,False,Signal,NR,DLI,DOWN,2026-09-01,True,TDMS,Flexible,False,PLANNED_MAINTENANCE
SMM-448,SMMS,URGENT,30,5,STN_C-STN_D,UP_MAIN,168.3,168.3,2026-08-07,2026-08-14,1,False,False,Track Circuit,NR,DLI,UP,2026-09-01,True,TDMS,Flexible,True,PLANNED_MAINTENANCE
SMM-449,SMMS,URGENT,90,23,STN_C-STN_D,UP_MAIN,169.05,169.05,2026-08-11,2026-08-18,1,False,False,Point Machine,NR,DLI,UP,2026-09-01,False,,Flexible,True,PLANNED_MAINTENANCE
SMM-450,SMMS,ROUTINE,90,20,STN_A-STN_B,UP_MAIN,142.1,142.1,2026-08-12,2026-09-02,1,False,False,Track Circuit,NR,DLI,UP,2026-09-02,True,TDMS,Flexible,True,PERIODIC_INSPECTION
SMM-451,SMMS,ROUTINE,30,15,STN_A-STN_B,UP_MAIN,142.12,142.12,2026-08-24,2026-09-14,1,False,False,Track Circuit,NR,DLI,UP,2026-09-14,False,,Flexible,True,PERIODIC_INSPECTION
SMM-452,SMMS,CRITICAL,60,6,STN_B-STN_C,DN_MAIN,155.0,155.0,2026-08-15,2026-08-18,1,False,False,Point Machine,NR,DLI,DOWN,2026-09-01,True,TMS,Flexible,True,STATUTORY_SAFETY_INSPECTION
SMM-453,SMMS,URGENT,30,3,STN_C-STN_D,UP_MAIN,168.3,168.3,2026-08-21,2026-08-28,1,False,False,Level Crossing Gate,NR,DLI,UP,2026-09-01,False,,Fixed Time Slot,True,PLANNED_MAINTENANCE
SMM-454,SMMS,ROUTINE,45,25,STN_C-STN_D,UP_MAIN,169.05,169.05,2026-08-28,2026-09-18,1,False,False,Point Machine,NR,DLI,UP,2026-09-18,True,TMS,Flexible,True,PERIODIC_INSPECTION
SMM-455,SMMS,ROUTINE,60,15,STN_A-STN_B,UP_MAIN,142.1,142.1,2026-08-23,2026-09-13,1,False,False,Signal,NR,DLI,UP,2026-09-13,True,TMS,Flexible,True,PERIODIC_INSPECTION
SMM-456,SMMS,ROUTINE,90,10,STN_A-STN_B,UP_MAIN,142.12,142.12,2026-08-29,2026-09-19,1,False,False,Level Crossing Gate,NR,DLI,UP,2026-09-19,False,,Flexible,True,PERIODIC_INSPECTION
SMM-457,SMMS,CRITICAL,30,25,STN_B-STN_C,DN_MAIN,155.0,155.0,2026-08-07,2026-08-10,1,False,False,Signal,NR,DLI,DOWN,2026-09-01,False,,Flexible,False,STATUTORY_SAFETY_INSPECTION
SMM-458,SMMS,ROUTINE,30,3,STN_C-STN_D,UP_MAIN,168.3,168.3,2026-08-18,2026-09-08,1,False,False,Signal,NR,DLI,UP,2026-09-08,False,,Flexible,True,PERIODIC_INSPECTION
SMM-459,SMMS,ROUTINE,60,14,STN_C-STN_D,UP_MAIN,169.05,169.05,2026-08-25,2026-09-15,1,False,False,Track Circuit,NR,DLI,UP,2026-09-15,False,,Flexible,True,PERIODIC_INSPECTION
SMM-460,SMMS,ROUTINE,45,9,STN_A-STN_B,UP_MAIN,142.1,142.1,2026-08-11,2026-09-01,1,False,False,Signal,NR,DLI,UP,2026-09-01,False,,Fixed Time Slot,True,PERIODIC_INSPECTION
SMM-461,SMMS,ROUTINE,60,22,STN_A-STN_B,UP_MAIN,142.12,142.12,2026-08-10,2026-08-31,1,False,False,Level Crossing Gate,NR,DLI,UP,2026-09-01,True,TDMS,Flexible,True,PERIODIC_INSPECTION
SMM-462,SMMS,URGENT,30,23,STN_B-STN_C,DN_MAIN,155.0,155.0,2026-08-10,2026-08-17,1,False,False,Signal,NR,DLI,DOWN,2026-09-01,False,,Flexible,True,PLANNED_MAINTENANCE
SMM-463,SMMS,ROUTINE,90,23,STN_C-STN_D,UP_MAIN,168.3,168.3,2026-08-22,2026-09-12,1,False,False,Level Crossing Gate,NR,DLI,UP,2026-09-12,True,TMS,Fixed Time Slot,True,PERIODIC_INSPECTION
SMM-464,SMMS,URGENT,90,19,STN_C-STN_D,UP_MAIN,169.05,169.05,2026-08-08,2026-08-15,1,False,False,Signal,NR,DLI,UP,2026-09-01,False,,Flexible,True,PLANNED_MAINTENANCE
SMM-465,SMMS,URGENT,60,15,STN_A-STN_B,UP_MAIN,142.1,142.1,2026-08-07,2026-08-14,1,False,False,Signal,NR,DLI,UP,2026-09-01,True,TMS,Flexible,True,PLANNED_MAINTENANCE
SMM-466,SMMS,CRITICAL,60,24,STN_A-STN_B,UP_MAIN,142.12,142.12,2026-08-23,2026-08-26,1,False,False,Level Crossing Gate,NR,DLI,UP,2026-09-01,False,,Flexible,True,STATUTORY_SAFETY_INSPECTION
SMM-467,SMMS,CRITICAL,45,8,STN_B-STN_C,DN_MAIN,155.0,155.0,2026-08-20,2026-08-23,1,False,False,Signal,NR,DLI,DOWN,2026-09-01,True,TMS,Flexible,True,STATUTORY_SAFETY_INSPECTION
SMM-468,SMMS,ROUTINE,30,21,STN_C-STN_D,UP_MAIN,168.3,168.3,2026-08-25,2026-09-15,1,False,False,Level Crossing Gate,NR,DLI,UP,2026-09-15,False,,Flexible,True,PERIODIC_INSPECTION
SMM-469,SMMS,CRITICAL,30,9,STN_C-STN_D,UP_MAIN,169.05,169.05,2026-08-28,2026-08-31,1,False,False,Level Crossing Gate,NR,DLI,UP,2026-09-01,False,,Flexible,False,STATUTORY_SAFETY_INSPECTION
SMM-470,SMMS,CRITICAL,30,19,STN_A-STN_B,UP_MAIN,142.1,142.1,2026-08-25,2026-08-28,1,False,False,Signal,NR,DLI,UP,2026-09-01,False,,Fixed Time Slot,True,STATUTORY_SAFETY_INSPECTION
SMM-471,SMMS,ROUTINE,60,15,STN_A-STN_B,UP_MAIN,142.12,142.12,2026-08-17,2026-09-07,1,False,False,Level Crossing Gate,NR,DLI,UP,2026-09-07,False,,Flexible,True,PERIODIC_INSPECTION
SMM-472,SMMS,ROUTINE,45,25,STN_B-STN_C,DN_MAIN,155.0,155.0,2026-08-26,2026-09-16,1,False,False,Track Circuit,NR,DLI,DOWN,2026-09-16,True,TMS,Flexible,True,PERIODIC_INSPECTION
SMM-473,SMMS,CRITICAL,60,15,STN_C-STN_D,UP_MAIN,168.3,168.3,2026-08-16,2026-08-19,1,False,False,Level Crossing Gate,NR,DLI,UP,2026-09-01,True,TDMS,Flexible,True,STATUTORY_SAFETY_INSPECTION
SMM-474,SMMS,ROUTINE,90,9,STN_C-STN_D,UP_MAIN,169.05,169.05,2026-08-22,2026-09-12,1,False,False,Track Circuit,NR,DLI,UP,2026-09-12,True,TMS,Flexible,True,PERIODIC_INSPECTION
SMM-475,SMMS,CRITICAL,90,10,STN_A-STN_B,UP_MAIN,142.1,142.1,2026-08-24,2026-08-27,1,False,False,Signal,NR,DLI,UP,2026-09-01,True,TDMS,Flexible,True,STATUTORY_SAFETY_INSPECTION
SMM-476,SMMS,CRITICAL,30,15,STN_A-STN_B,UP_MAIN,142.12,142.12,2026-09-08,2026-09-11,2,True,False,Point Machine,NR,DLI,UP,2026-09-11,False,,Fixed Time Slot,True,EMERGENCY_REPAIR
SMM-477,SMMS,CRITICAL,45,1,STN_B-STN_C,DN_MAIN,155.0,155.0,2026-09-22,2026-09-25,4,True,False,Point Machine,NR,DLI,DOWN,2026-09-25,False,,Fixed Time Slot,True,EMERGENCY_REPAIR
TDM-1020,TDMS,ROUTINE,60,27,STN_A-STN_B,UP_MAIN,142.18,142.18,2026-08-08,2026-08-29,1,False,False,Cantilever Insulator Flash,NR,DLI,UP,2026-09-01,False,,Flexible,True,PERIODIC_INSPECTION
TDM-1021,TDMS,ROUTINE,120,3,STN_A-STN_B,UP_MAIN,143.04,143.04,2026-08-14,2026-09-04,1,False,False,OHE Tension Low,NR,DLI,UP,2026-09-04,True,TMS,Flexible,True,PERIODIC_INSPECTION
TDM-1022,TDMS,CRITICAL,120,27,STN_B-STN_C,DN_MAIN,158.1,158.1,2026-08-17,2026-08-20,1,False,True,Cantilever Insulator Flash,NR,DLI,DOWN,2026-09-01,True,SMMS,Flexible,True,STATUTORY_SAFETY_INSPECTION
TDM-1023,TDMS,ROUTINE,60,15,STN_C-STN_D,UP_MAIN,170.02,170.02,2026-08-12,2026-09-02,1,False,False,Cantilever Insulator Flash,NR,DLI,UP,2026-09-02,False,,Flexible,True,PERIODIC_INSPECTION
TDM-1024,TDMS,CRITICAL,120,5,STN_A-STN_B,UP_MAIN,142.18,142.18,2026-08-12,2026-08-15,1,False,True,Bird Nest Removal,NR,DLI,UP,2026-09-01,True,TMS,Flexible,True,STATUTORY_SAFETY_INSPECTION
TDM-1025,TDMS,CRITICAL,120,15,STN_A-STN_B,UP_MAIN,143.04,143.04,2026-08-26,2026-08-29,1,False,True,Dropper Wire Snapped,NR,DLI,UP,2026-09-01,False,,Flexible,True,STATUTORY_SAFETY_INSPECTION
TDM-1026,TDMS,ROUTINE,120,15,STN_B-STN_C,DN_MAIN,158.1,158.1,2026-08-22,2026-09-12,1,False,False,Dropper Wire Snapped,NR,DLI,DOWN,2026-09-12,True,TMS,Flexible,True,PERIODIC_INSPECTION
TDM-1027,TDMS,ROUTINE,90,9,STN_C-STN_D,UP_MAIN,170.02,170.02,2026-08-13,2026-09-03,1,False,False,OHE Tension Low,NR,DLI,UP,2026-09-03,False,,Flexible,True,PERIODIC_INSPECTION
TDM-1028,TDMS,ROUTINE,120,11,STN_A-STN_B,UP_MAIN,142.18,142.18,2026-08-18,2026-09-08,1,False,False,Bird Nest Removal,NR,DLI,UP,2026-09-08,False,,Flexible,True,PERIODIC_INSPECTION
TDM-1029,TDMS,CRITICAL,120,2,STN_A-STN_B,UP_MAIN,143.04,143.04,2026-08-16,2026-08-19,1,False,True,Bird Nest Removal,NR,DLI,UP,2026-09-01,True,TMS,Flexible,False,STATUTORY_SAFETY_INSPECTION
TDM-1030,TDMS,ROUTINE,45,4,STN_B-STN_C,DN_MAIN,158.1,158.1,2026-08-15,2026-09-05,1,False,False,Bird Nest Removal,NR,DLI,DOWN,2026-09-05,False,,Flexible,True,PERIODIC_INSPECTION
TDM-1031,TDMS,ROUTINE,45,11,STN_C-STN_D,UP_MAIN,170.02,170.02,2026-08-21,2026-09-11,1,False,False,Bird Nest Removal,NR,DLI,UP,2026-09-11,False,,Flexible,True,PERIODIC_INSPECTION
TDM-1032,TDMS,ROUTINE,45,28,STN_A-STN_B,UP_MAIN,142.18,142.18,2026-08-14,2026-09-04,1,False,False,Cantilever Insulator Flash,NR,DLI,UP,2026-09-04,True,SMMS,Flexible,True,PERIODIC_INSPECTION
TDM-1033,TDMS,ROUTINE,60,28,STN_A-STN_B,UP_MAIN,143.04,143.04,2026-08-07,2026-08-28,1,False,False,Bird Nest Removal,NR,DLI,UP,2026-09-01,False,,Flexible,False,PERIODIC_INSPECTION
TDM-1034,TDMS,CRITICAL,60,5,STN_B-STN_C,DN_MAIN,158.1,158.1,2026-08-16,2026-08-19,1,False,True,Bird Nest Removal,NR,DLI,DOWN,2026-09-01,True,TMS,Flexible,True,STATUTORY_SAFETY_INSPECTION
TDM-1035,TDMS,ROUTINE,90,5,STN_C-STN_D,UP_MAIN,170.02,170.02,2026-08-11,2026-09-01,1,False,False,Bird Nest Removal,NR,DLI,UP,2026-09-01,False,,Flexible,True,PERIODIC_INSPECTION
TDM-1036,TDMS,ROUTINE,90,3,STN_A-STN_B,UP_MAIN,142.18,142.18,2026-08-24,2026-09-14,1,False,False,OHE Tension Low,NR,DLI,UP,2026-09-14,False,,Flexible,True,PERIODIC_INSPECTION
TDM-1037,TDMS,ROUTINE,90,4,STN_A-STN_B,UP_MAIN,143.04,143.04,2026-08-14,2026-09-04,1,False,False,Bird Nest Removal,NR,DLI,UP,2026-09-04,False,,Flexible,True,PERIODIC_INSPECTION
TDM-1038,TDMS,CRITICAL,120,28,STN_B-STN_C,DN_MAIN,158.1,158.1,2026-08-11,2026-08-14,1,False,True,Cantilever Insulator Flash,NR,DLI,DOWN,2026-09-01,False,,Flexible,True,STATUTORY_SAFETY_INSPECTION
TDM-1039,TDMS,CRITICAL,45,20,STN_C-STN_D,UP_MAIN,170.02,170.02,2026-08-23,2026-08-26,1,False,True,Dropper Wire Snapped,NR,DLI,UP,2026-09-01,False,,Flexible,True,STATUTORY_SAFETY_INSPECTION
TDM-1040,TDMS,ROUTINE,120,3,STN_A-STN_B,UP_MAIN,142.18,142.18,2026-08-25,2026-09-15,1,False,False,OHE Tension Low,NR,DLI,UP,2026-09-15,True,TMS,Flexible,True,PERIODIC_INSPECTION
TDM-1041,TDMS,ROUTINE,90,30,STN_A-STN_B,UP_MAIN,143.04,143.04,2026-08-21,2026-09-11,1,False,False,OHE Tension Low,NR,DLI,UP,2026-09-11,False,,Flexible,False,PERIODIC_INSPECTION
TDM-1042,TDMS,ROUTINE,45,12,STN_B-STN_C,DN_MAIN,158.1,158.1,2026-08-12,2026-09-02,1,False,False,Bird Nest Removal,NR,DLI,DOWN,2026-09-02,True,TMS,Flexible,True,PERIODIC_INSPECTION
TDM-1043,TDMS,ROUTINE,120,12,STN_C-STN_D,UP_MAIN,170.02,170.02,2026-08-09,2026-08-30,1,False,False,Dropper Wire Snapped,NR,DLI,UP,2026-09-01,True,SMMS,Flexible,True,PERIODIC_INSPECTION
TDM-1044,TDMS,ROUTINE,60,21,STN_A-STN_B,UP_MAIN,142.18,142.18,2026-08-20,2026-09-10,1,False,False,Cantilever Insulator Flash,NR,DLI,UP,2026-09-10,True,TMS,Flexible,True,PERIODIC_INSPECTION
TDM-1045,TDMS,CRITICAL,120,29,STN_A-STN_B,UP_MAIN,143.04,143.04,2026-09-15,2026-09-18,3,True,True,Dropper Wire Snapped,NR,DLI,UP,2026-09-18,False,,Fixed Time Slot,True,EMERGENCY_REPAIR
TDM-1046,TDMS,CRITICAL,45,19,STN_B-STN_C,DN_MAIN,158.1,158.1,2026-09-22,2026-09-25,4,True,True,Bird Nest Removal,NR,DLI,DOWN,2026-09-25,False,,Fixed Time Slot,True,EMERGENCY_REPAIR
