corridor_id,date,week_number,block_section,line,window_start,window_end,duration_mins,traffic_density,movements_that_day
COA-62,2026-09-11,2,STN_A-STN_B,DN_MAIN,2026-09-11 02:05,2026-09-11 06:05,240,HIGH,29
COA-63,2026-09-11,2,STN_B-STN_C,UP_MAIN,2026-09-11 14:49,2026-09-11 18:49,240,HIGH,28
COA-64,2026-09-11,2,STN_B-STN_C,DN_MAIN,2026-09-11 11:16,2026-09-11 13:56,160,HIGH,28
COA-65,2026-09-11,2,STN_C-STN_D,UP_MAIN,2026-09-11 08:29,2026-09-11 12:29,240,HIGH,26
COA-66,2026-09-11,2,STN_C-STN_D,DN_MAIN,2026-09-11 19:17,2026-09-11 23:17,240,HIGH,26
COA-67,2026-09-12,2,STN_A-STN_B,UP_MAIN,2026-09-12 17:45,2026-09-12 21:45,240,LOW,22
COA-68,2026-09-12,2,STN_A-STN_B,DN_MAIN,2026-09-12 00:00,2026-09-12 04:00,240,LOW,22
COA-69,2026-09-12,2,STN_B-STN_C,UP_MAIN,2026-09-12 09:23,2026-09-12 13:23,240,LOW,20
COA-70,2026-09-12,2,STN_B-STN_C,DN_MAIN,2026-09-12 12:52,2026-09-12 16:52,240,LOW,20
COA-71,2026-09-12,2,STN_C-STN_D,UP_MAIN,2026-09-12 08:23,2026-09-12 12:23,240,MEDIUM,24
COA-72,2026-09-12,2,STN_C-STN_D,DN_MAIN,2026-09-12 03:37,2026-09-12 07:37,240,MEDIUM,24
COA-73,2026-09-13,2,STN_A-STN_B,UP_MAIN,2026-09-13 09:23,2026-09-13 13:23,240,MEDIUM,24
COA-74,2026-09-13,2,STN_A-STN_B,DN_MAIN,2026-09-13 00:42,2026-09-13 04:42,240,MEDIUM,24
COA-75,2026-09-13,2,STN_B-STN_C,UP_MAIN,2026-09-13 07:13,2026-09-13 10:56,223,HIGH,30
COA-76,2026-09-13,2,STN_B-STN_C,DN_MAIN,2026-09-13 11:16,2026-09-13 14:44,208,HIGH,30
COA-77,2026-09-13,2,STN_C-STN_D,UP_MAIN,2026-09-13 16:18,2026-09-13 20:18,240,LOW,23
COA-78,2026-09-13,2,STN_C-STN_D,DN_MAIN,2026-09-13 20:34,2026-09-14 00:00,206,LOW,23
COA-79,2026-09-14,2,STN_A-STN_B,UP_MAIN,2026-09-14 00:00,2026-09-14 04:00,240,HIGH,28
COA-80,2026-09-14,2,STN_A-STN_B,DN_MAIN,2026-09-14 04:49,2026-09-14 08:25,216,HIGH,28
COA-81,2026-09-14,2,STN_B-STN_C,UP_MAIN,2026-09-14 00:20,2026-09-14 04:20,240,HIGH,26
COA-82,2026-09-14,2,STN_B-STN_C,DN_MAIN,2026-09-14 04:57,2026-09-14 08:57,240,HIGH,26
COA-83,2026-09-14,2,STN_C-STN_D,UP_MAIN,2026-09-14 02:46,2026-09-14 06:46,240,MEDIUM,25
COA-84,2026-09-14,2,STN_C-STN_D,DN_MAIN,2026-09-14 15:24,2026-09-14 19:13,229,MEDIUM,25
COA-85,2026-09-15,3,STN_A-STN_B,UP_MAIN,2026-09-15 19:50,2026-09-15 23:50,240,MEDIUM,24
COA-86,2026-09-15,3,STN_A-STN_B,DN_MAIN,2026-09-15 04:03,2026-09-15 08:03,240,MEDIUM,24
COA-87,2026-09-15,3,STN_B-STN_C,UP_MAIN,2026-09-15 00:00,2026-09-15 04:00,240,HIGH,26
COA-88,2026-09-15,3,STN_B-STN_C,DN_MAIN,2026-09-15 12:41,2026-09-15 16:14,213,HIGH,26
COA-89,2026-09-15,3,STN_C-STN_D,UP_MAIN,2026-09-15 16:49,2026-09-15 20:49,240,HIGH,28
COA-90,2026-09-15,3,STN_C-STN_D,DN_MAIN,2026-09-15 04:57,2026-09-15 08:57,240,HIGH,28
COA-91,2026-09-16,3,STN_A-STN_B,UP_MAIN,2026-09-16 08:42,2026-09-16 12:15,213,HIGH,29
COA-92,2026-09-16,3,STN_A-STN_B,DN_MAIN,2026-09-16 00:00,2026-09-16 04:00,240,HIGH,29
COA-93,2026-09-16,3,STN_B-STN_C,UP_MAIN,2026-09-16 13:11,2026-09-16 17:11,240,MEDIUM,24
COA-94,2026-09-16,3,STN_B-STN_C,DN_MAIN,2026-09-16 11:09,2026-09-16 15:09,240,MEDIUM,24
COA-95,2026-09-16,3,STN_C-STN_D,UP_MAIN,2026-09-16 04:00,2026-09-16 08:00,240,HIGH,32
COA-96,2026-09-16,3,STN_C-STN_D,DN_MAIN,2026-09-16 12:08,2026-09-16 16:08,240,HIGH,32
COA-97,2026-09-17,3,STN_A-STN_B,UP_MAIN,2026-09-17 12:51,2026-09-17 16:51,240,HIGH,27
COA-98,2026-09-17,3,STN_A-STN_B,DN_MAIN,2026-09-17 08:06,2026-09-17 12:06,240,HIGH,27
COA-99,2026-09-17,3,STN_B-STN_C,UP_MAIN,2026-09-17 03:37,2026-09-17 07:37,240,MEDIUM,24
COA-100,2026-09-17,3,STN_B-STN_C,DN_MAIN,2026-09-17 14:18,2026-09-17 18:18,240,MEDIUM,24
COA-101,2026-09-17,3,STN_C-STN_D,UP_MAIN,2026-09-17 13:34,2026-09-17 17:34,240,HIGH,27
COA-102,2026-09-17,3,STN_C-STN_D,DN_MAIN,2026-09-17 17:29,2026-09-17 21:29,240,HIGH,27
COA-103,2026-09-18,3,STN_A-STN_B,UP_MAIN,2026-09-18 17:37,2026-09-18 20:21,164,HIGH,28
COA-104,2026-09-18,3,STN_A-STN_B,DN_MAIN,2026-09-18 13:58,2026-09-18 17:58,240,HIGH,28
COA-105,2026-09-18,3,STN_B-STN_C,UP_MAIN,2026-09-18 04:09,2026-09-18 08:09,240,HIGH,26
COA-106,2026-09-18,3,STN_B-STN_C,DN_MAIN,2026-09-18 19:07,2026-09-18 23:07,240,HIGH,26
COA-107,2026-09-18,3,STN_C-STN_D,UP_MAIN,2026-09-18 00:00,2026-09-18 04:00,240,HIGH,26
COA-108,2026-09-18,3,STN_C-STN_D,DN_MAIN,2026-09-18 02:36,2026-09-18 06:36,240,HIGH,26
COA-109,2026-09-19,3,STN_A-STN_B,UP_MAIN,2026-09-19 00:00,2026-09-19 03:06,186,HIGH,26
COA-110,2026-09-19,3,STN_A-STN_B,DN_MAIN,2026-09-19 08:09,2026-09-19 12:09,240,HIGH,26
COA-111,2026-09-19,3,STN_B-STN_C,UP_MAIN,2026-09-19 00:00,2026-09-19 04:00,240,LOW,18
COA-112,2026-09-19,3,STN_B-STN_C,DN_MAIN,2026-09-19 08:06,2026-09-19 12:06,240,LOW,18
COA-113,2026-09-19,3,STN_C-STN_D,UP_MAIN,2026-09-19 00:00,2026-09-19 03:05,185,HIGH,27
COA-114,2026-09-19,3,STN_C-STN_D,DN_MAIN,2026-09-19 06:43,2026-09-19 10:43,240,HIGH,27
COA-115,2026-09-20,3,STN_A-STN_B,UP_MAIN,2026-09-20 07:00,2026-09-20 11:00,240,MEDIUM,25
COA-116,2026-09-20,3,STN_A-STN_B,DN_MAIN,2026-09-20 15:23,2026-09-20 19:23,240,MEDIUM,25
COA-117,2026-09-20,3,STN_B-STN_C,UP_MAIN,2026-09-20 16:37,2026-09-20 20:37,240,MEDIUM,25
COA-118,2026-09-20,3,STN_B-STN_C,DN_MAIN,2026-09-20 05:34,2026-09-20 09:34,240,MEDIUM,25
COA-119,2026-09-20,3,STN_C-STN_D,UP_MAIN,2026-09-20 12:16,2026-09-20 16:16,240,LOW,23
COA-120,2026-09-20,3,STN_C-STN_D,DN_MAIN,2026-09-20 07:49,2026-09-20 11:49,240,LOW,23
COA-121,2026-09-21,3,STN_A-STN_B,UP_MAIN,2026-09-21 11:47,2026-09-21 15:47,240,LOW,23
COA-122,2026-09-21,3,STN_A-STN_B,DN_MAIN,2026-09-21 15:09,2026-09-21 19:09,240,LOW,23
COA-123,2026-09-21,3,STN_B-STN_C,UP_MAIN,2026-09-21 00:18,2026-09-21 04:18,240,HIGH,27
COA-124,2026-09-21,3,STN_B-STN_C,DN_MAIN,2026-09-21 07:19,2026-09-21 11:19,240,HIGH,27
COA-125,2026-09-21,3,STN_C-STN_D,UP_MAIN,2026-09-21 12:19,2026-09-21 16:19,240,LOW,23
COA-126,2026-09-21,3,STN_C-STN_D,DN_MAIN,2026-09-21 14:27,2026-09-21 18:27,240,LOW,23
COA-127,2026-09-22,4,STN_A-STN_B,UP_MAIN,2026-09-22 11:28,2026-09-22 15:28,240,LOW,21
COA-128,2026-09-22,4,STN_A-STN_B,DN_MAIN,2026-09-22 19:45,2026-09-22 23:45,240,LOW,21
COA-129,2026-09-22,4,STN_B-STN_C,UP_MAIN,2026-09-22 18:09,2026-09-22 22:09,240,MEDIUM,25
COA-130,2026-09-22,4,STN_B-STN_C,DN_MAIN,2026-09-22 00:00,2026-09-22 04:00,240,MEDIUM,25
COA-131,2026-09-22,4,STN_C-STN_D,UP_MAIN,2026-09-22 17:18,2026-09-22 21:18,240,MEDIUM,24
COA-132,2026-09-22,4,STN_C-STN_D,DN_MAIN,2026-09-22 11:02,2026-09-22 15:02,240,MEDIUM,24
COA-133,2026-09-23,4,STN_A-STN_B,UP_MAIN,2026-09-23 14:13,2026-09-23 18:13,240,MEDIUM,25
COA-134,2026-09-23,4,STN_A-STN_B,DN_MAIN,2026-09-23 01:55,2026-09-23 05:55,240,MEDIUM,25
COA-135,2026-09-23,4,STN_B-STN_C,UP_MAIN,2026-09-23 16:54,2026-09-23 20:54,240,HIGH,27
COA-136,2026-09-23,4,STN_B-STN_C,DN_MAIN,2026-09-23 17:32,2026-09-23 21:03,211,HIGH,27
COA-137,2026-09-23,4,STN_C-STN_D,UP_MAIN,2026-09-23 13:19,2026-09-23 17:19,240,HIGH,27
COA-138,2026-09-23,4,STN_C-STN_D,DN_MAIN,2026-09-23 10:08,2026-09-23 14:08,240,HIGH,27
COA-139,2026-09-24,4,STN_A-STN_B,UP_MAIN,2026-09-24 00:27,2026-09-24 04:27,240,HIGH,31
COA-140,2026-09-24,4,STN_A-STN_B,DN_MAIN,2026-09-24 14:32,2026-09-24 17:39,187,HIGH,31
COA-141,2026-09-24,4,STN_B-STN_C,UP_MAIN,2026-09-24 00:00,2026-09-24 04:00,240,HIGH,26
COA-142,2026-09-24,4,STN_B-STN_C,DN_MAIN,2026-09-24 03:30,2026-09-24 07:30,240,HIGH,26
COA-143,2026-09-24,4,STN_C-STN_D,UP_MAIN,2026-09-24 12:05,2026-09-24 16:05,240,LOW,23
COA-144,2026-09-24,4,STN_C-STN_D,DN_MAIN,2026-09-24 09:57,2026-09-24 13:57,240,LOW,23
COA-145,2026-09-25,4,STN_A-STN_B,UP_MAIN,2026-09-25 01:27,2026-09-25 05:27,240,MEDIUM,25
COA-146,2026-09-25,4,STN_A-STN_B,DN_MAIN,2026-09-25 17:57,2026-09-25 21:57,240,MEDIUM,25
COA-147,2026-09-25,4,STN_B-STN_C,UP_MAIN,2026-09-25 07:57,2026-09-25 11:57,240,HIGH,26
COA-148,2026-09-25,4,STN_B-STN_C,DN_MAIN,2026-09-25 05:20,2026-09-25 09:20,240,HIGH,26
COA-149,2026-09-25,4,STN_C-STN_D,UP_MAIN,2026-09-25 00:00,2026-09-25 04:00,240,MEDIUM,25
COA-150,2026-09-25,4,STN_C-STN_D,DN_MAIN,2026-09-25 16:14,2026-09-25 20:14,240,MEDIUM,25
COA-151,2026-09-26,4,STN_A-STN_B,UP_MAIN,2026-09-26 06:05,2026-09-26 09:00,175,HIGH,30
COA-152,2026-09-26,4,STN_A-STN_B,DN_MAIN,2026-09-26 15:08,2026-09-26 19:08,240,HIGH,30
COA-153,2026-09-26,4,STN_B-STN_C,UP_MAIN,2026-09-26 09:06,2026-09-26 12:14,188,HIGH,29
COA-154,2026-09-26,4,STN_B-STN_C,DN_MAIN,2026-09-26 17:51,2026-09-26 21:51,240,HIGH,29
COA-155,2026-09-26,4,STN_C-STN_D,UP_MAIN,2026-09-26 02:12,2026-09-26 06:12,240,LOW,22
COA-156,2026-09-26,4,STN_C-STN_D,DN_MAIN,2026-09-26 09:22,2026-09-26 13:22,240,LOW,22
COA-157,2026-09-27,4,STN_A-STN_B,UP_MAIN,2026-09-27 03:49,2026-09-27 07:49,240,HIGH,26
COA-158,2026-09-27,4,STN_A-STN_B,DN_MAIN,2026-09-27 03:29,2026-09-27 07:29,240,HIGH,26
COA-159,2026-09-27,4,STN_B-STN_C,UP_MAIN,2026-09-27 01:09,2026-09-27 05:09,240,HIGH,28
COA-160,2026-09-27,4,STN_B-STN_C,DN_MAIN,2026-09-27 00:00,2026-09-27 04:00,240,HIGH,28
COA-161,2026-09-27,4,STN_C-STN_D,UP_MAIN,2026-09-27 07:01,2026-09-27 11:01,240,LOW,23
COA-162,2026-09-27,4,STN_C-STN_D,DN_MAIN,2026-09-27 10:11,2026-09-27 14:11,240,LOW,23
COA-163,2026-09-28,4,STN_A-STN_B,UP_MAIN,2026-09-28 12:29,2026-09-28 16:29,240,MEDIUM,24
COA-164,2026-09-28,4,STN_A-STN_B,DN_MAIN,2026-09-28 00:38,2026-09-28 04:38,240,MEDIUM,24
COA-165,2026-09-28,4,STN_B-STN_C,UP_MAIN,2026-09-28 00:23,2026-09-28 04:23,240,LOW,23
COA-166,2026-09-28,4,STN_B-STN_C,DN_MAIN,2026-09-28 06:24,2026-09-28 10:24,240,LOW,23
COA-167,2026-09-28,4,STN_C-STN_D,UP_MAIN,2026-09-28 11:30,2026-09-28 15:30,240,LOW,22
COA-168,2026-09-28,4,STN_C-STN_D,DN_MAIN,2026-09-28 01:33,2026-09-28 05:33,240,LOW,22
