task_id,dept,criticality_score,duration_mins,corridor_id,block_section,line,window_start,window_end,status,rly,div,direction,block_demand_date,is_block_integrated,integrated_department,integration_fulfilled,enforcement_condition,use_corridor,reason_code,week
SMM-446,SMMS,88.0,45,COA-13,STN_A-STN_B,UP_MAIN,2026-09-03 18:11,2026-09-03 22:11,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-01,False,,False,Flexible,True,STATUTORY_SAFETY_INSPECTION,1
TDM-1039,TDMS,87.9000015258789,45,COA-29,STN_C-STN_D,UP_MAIN,2026-09-05 08:27,2026-09-05 12:27,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-01,False,,False,Flexible,True,STATUTORY_SAFETY_INSPECTION,1
TMS-8015,TMS,87.4000015258789,150,COA-10,STN_B-STN_C,DN_MAIN,2026-09-02 12:36,2026-09-02 16:36,SCHEDULED (Shadow Block),NR,DLI,DOWN,2026-09-01,True,TDMS,True,Flexible,True,STATUTORY_SAFETY_INSPECTION,1
SMM-473,SMMS,87.30000305175781,60,COA-11,STN_C-STN_D,UP_MAIN,2026-09-02 00:00,2026-09-02 04:00,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-01,True,TDMS,True,Flexible,True,STATUTORY_SAFETY_INSPECTION,1
TMS-8012,TMS,86.30000305175781,180,COA-13,STN_A-STN_B,UP_MAIN,2026-09-03 18:11,2026-09-03 22:11,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-01,True,TDMS,False,Flexible,True,STATUTORY_SAFETY_INSPECTION,1
TMS-8029,TMS,86.19999694824219,150,COA-19,STN_A-STN_B,UP_MAIN,2026-09-04 00:00,2026-09-04 04:00,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-01,False,,False,Flexible,True,STATUTORY_SAFETY_INSPECTION,1
SMM-452,SMMS,85.0,60,COA-40,STN_B-STN_C,DN_MAIN,2026-09-07 02:37,2026-09-07 06:37,SCHEDULED (Shadow Block),NR,DLI,DOWN,2026-09-01,True,TMS,True,Flexible,True,STATUTORY_SAFETY_INSPECTION,1
TMS-8033,TMS,83.4000015258789,90,COA-34,STN_B-STN_C,DN_MAIN,2026-09-06 14:10,2026-09-06 18:10,SCHEDULED (Shadow Block),NR,DLI,DOWN,2026-09-01,True,SMMS,True,Flexible,True,STATUTORY_SAFETY_INSPECTION,1
SMM-466,SMMS,83.19999694824219,60,COA-31,STN_A-STN_B,UP_MAIN,2026-09-06 05:02,2026-09-06 08:38,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-01,False,,False,Flexible,True,STATUTORY_SAFETY_INSPECTION,1
TMS-8016,TMS,83.0,90,COA-34,STN_B-STN_C,DN_MAIN,2026-09-06 14:10,2026-09-06 18:10,SCHEDULED (Shadow Block),NR,DLI,DOWN,2026-09-01,False,,False,Flexible,True,STATUTORY_SAFETY_INSPECTION,1
TMS-8006,TMS,82.69999694824219,60,COA-25,STN_A-STN_B,UP_MAIN,2026-09-05 00:00,2026-09-05 03:42,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-01,True,TDMS,True,Flexible,True,STATUTORY_SAFETY_INSPECTION,1
TDM-1025,TDMS,82.5,120,COA-31,STN_A-STN_B,UP_MAIN,2026-09-06 05:02,2026-09-06 08:38,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-01,False,,False,Flexible,True,STATUTORY_SAFETY_INSPECTION,1
TMS-8023,TMS,82.5,180,COA-14,STN_A-STN_B,DN_MAIN,2026-09-03 00:58,2026-09-03 04:24,SCHEDULED (Shadow Block),NR,DLI,DOWN,2026-09-01,False,,False,Flexible,True,STATUTORY_SAFETY_INSPECTION,1
TMS-8007,TMS,82.0999984741211,180,COA-29,STN_C-STN_D,UP_MAIN,2026-09-05 08:27,2026-09-05 12:27,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-01,True,TDMS,True,Flexible,True,STATUTORY_SAFETY_INSPECTION,1
SMM-462,SMMS,81.4000015258789,30,COA-22,STN_B-STN_C,DN_MAIN,2026-09-04 12:08,2026-09-04 16:08,SCHEDULED (Shadow Block),NR,DLI,DOWN,2026-09-01,False,,False,Flexible,True,PLANNED_MAINTENANCE,1
SMM-449,SMMS,81.30000305175781,90,COA-17,STN_C-STN_D,UP_MAIN,2026-09-03 12:07,2026-09-03 16:07,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-01,False,,False,Flexible,True,PLANNED_MAINTENANCE,1
SMM-444,SMMS,80.5,30,COA-35,STN_C-STN_D,UP_MAIN,2026-09-06 03:27,2026-09-06 07:27,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-01,False,,False,Flexible,True,STATUTORY_SAFETY_INSPECTION,1
SMM-467,SMMS,80.4000015258789,45,COA-34,STN_B-STN_C,DN_MAIN,2026-09-06 14:10,2026-09-06 18:10,SCHEDULED (Shadow Block),NR,DLI,DOWN,2026-09-01,True,TMS,True,Flexible,True,STATUTORY_SAFETY_INSPECTION,1
TMS-8032,TMS,79.69999694824219,150,COA-2,STN_A-STN_B,DN_MAIN,2026-09-01 08:28,2026-09-01 12:28,SCHEDULED (Shadow Block),NR,DLI,DOWN,2026-09-01,False,,False,Flexible,True,STATUTORY_SAFETY_INSPECTION,1
SMM-464,SMMS,79.5,90,COA-23,STN_C-STN_D,UP_MAIN,2026-09-04 10:42,2026-09-04 14:42,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-01,False,,False,Flexible,True,PLANNED_MAINTENANCE,1
SMM-470,SMMS,79.0,30,COA-1,STN_A-STN_B,UP_MAIN,2026-09-01 18:47,2026-09-01 22:47,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-01,False,,False,Fixed Time Slot,True,STATUTORY_SAFETY_INSPECTION,1
TMS-8004,TMS,78.4000015258789,90,COA-40,STN_B-STN_C,DN_MAIN,2026-09-07 02:37,2026-09-07 06:37,SCHEDULED (Shadow Block),NR,DLI,DOWN,2026-09-01,True,SMMS,True,Flexible,True,STATUTORY_SAFETY_INSPECTION,1
SMM-465,SMMS,78.30000305175781,60,COA-19,STN_A-STN_B,UP_MAIN,2026-09-04 00:00,2026-09-04 04:00,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-01,True,TMS,True,Flexible,True,PLANNED_MAINTENANCE,1
SMM-475,SMMS,78.30000305175781,90,COA-1,STN_A-STN_B,UP_MAIN,2026-09-01 18:47,2026-09-01 22:47,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-01,True,TDMS,True,Flexible,True,STATUTORY_SAFETY_INSPECTION,1
TMS-8014,TMS,75.30000305175781,120,COA-21,STN_B-STN_C,UP_MAIN,2026-09-04 01:30,2026-09-04 05:08,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-01,True,SMMS,False,Flexible,True,STATUTORY_SAFETY_INSPECTION,1
SMM-448,SMMS,74.30000305175781,30,COA-11,STN_C-STN_D,UP_MAIN,2026-09-02 00:00,2026-09-02 04:00,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-01,True,TDMS,True,Flexible,True,PLANNED_MAINTENANCE,1
TMS-8022,TMS,73.5999984741211,60,COA-5,STN_C-STN_D,UP_MAIN,2026-09-01 02:38,2026-09-01 06:38,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-01,True,SMMS,True,Fixed Time Slot,True,PLANNED_MAINTENANCE,1
TMS-8017,TMS,73.0,60,COA-3,STN_B-STN_C,UP_MAIN,2026-09-01 09:37,2026-09-01 13:37,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-01,False,,False,Flexible,True,PLANNED_MAINTENANCE,1
TMS-8021,TMS,70.5999984741211,180,COA-15,STN_B-STN_C,UP_MAIN,2026-09-03 01:45,2026-09-03 05:45,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-02,True,TDMS,False,Flexible,True,PLANNED_MAINTENANCE,1
TMS-8003,TMS,70.0999984741211,90,COA-18,STN_C-STN_D,DN_MAIN,2026-09-03 06:17,2026-09-03 10:17,SCHEDULED (Shadow Block),NR,DLI,DOWN,2026-09-03,False,,False,Fixed Time Slot,True,PLANNED_MAINTENANCE,1
TMS-8026,TMS,69.4000015258789,90,COA-16,STN_B-STN_C,DN_MAIN,2026-09-03 06:06,2026-09-03 10:06,SCHEDULED (Shadow Block),NR,DLI,DOWN,2026-09-01,False,,False,Flexible,True,STATUTORY_SAFETY_INSPECTION,1
SMM-442,SMMS,67.80000305175781,90,COA-16,STN_B-STN_C,DN_MAIN,2026-09-03 06:06,2026-09-03 10:06,SCHEDULED (Shadow Block),NR,DLI,DOWN,2026-09-01,False,,False,Flexible,True,STATUTORY_SAFETY_INSPECTION,1
TMS-8002,TMS,65.0,150,COA-41,STN_C-STN_D,UP_MAIN,2026-09-07 00:00,2026-09-07 04:00,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-01,True,TDMS,True,Flexible,True,PLANNED_MAINTENANCE,1
TMS-8005,TMS,61.099998474121094,90,COA-39,STN_B-STN_C,UP_MAIN,2026-09-07 10:32,2026-09-07 14:32,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-01,False,,False,Flexible,True,PERIODIC_INSPECTION,1
SMM-453,SMMS,60.79999923706055,30,COA-5,STN_C-STN_D,UP_MAIN,2026-09-01 02:38,2026-09-01 06:38,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-01,False,,False,Fixed Time Slot,True,PLANNED_MAINTENANCE,1
TMS-8028,TMS,60.79999923706055,150,COA-35,STN_C-STN_D,UP_MAIN,2026-09-06 03:27,2026-09-06 07:27,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-01,False,,False,Flexible,True,PLANNED_MAINTENANCE,1
TDM-1020,TDMS,60.20000076293945,60,COA-1,STN_A-STN_B,UP_MAIN,2026-09-01 18:47,2026-09-01 22:47,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-01,False,,False,Flexible,True,PERIODIC_INSPECTION,1
TMS-8030,TMS,59.70000076293945,120,COA-20,STN_A-STN_B,DN_MAIN,2026-09-04 05:32,2026-09-04 09:32,SCHEDULED (Shadow Block),NR,DLI,DOWN,2026-09-04,True,SMMS,False,Flexible,True,PLANNED_MAINTENANCE,1
TMS-8018,TMS,59.400001525878906,60,COA-8,STN_A-STN_B,DN_MAIN,2026-09-02 12:09,2026-09-02 16:09,SCHEDULED (Shadow Block),NR,DLI,DOWN,2026-09-01,False,,False,Flexible,True,PLANNED_MAINTENANCE,1
SMM-443,SMMS,56.400001525878906,90,COA-5,STN_C-STN_D,UP_MAIN,2026-09-01 02:38,2026-09-01 06:38,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-01,True,TMS,True,Flexible,True,PERIODIC_INSPECTION,1
SMM-461,SMMS,55.900001525878906,60,COA-37,STN_A-STN_B,UP_MAIN,2026-09-07 04:54,2026-09-07 08:54,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-01,True,TDMS,True,Flexible,True,PERIODIC_INSPECTION,1
SMM-440,SMMS,55.79999923706055,90,COA-25,STN_A-STN_B,UP_MAIN,2026-09-05 00:00,2026-09-05 03:42,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-01,True,TMS,True,Flexible,True,PERIODIC_INSPECTION,1
TDM-1043,TDMS,55.0,120,COA-11,STN_C-STN_D,UP_MAIN,2026-09-02 00:00,2026-09-02 04:00,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-01,True,SMMS,True,Flexible,True,PERIODIC_INSPECTION,1
TDM-1032,TDMS,53.0,45,COA-25,STN_A-STN_B,UP_MAIN,2026-09-05 00:00,2026-09-05 03:42,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-04,True,SMMS,True,Flexible,True,PERIODIC_INSPECTION,1
SMM-450,SMMS,52.0,90,COA-7,STN_A-STN_B,UP_MAIN,2026-09-02 01:45,2026-09-02 05:45,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-02,True,TDMS,True,Flexible,True,PERIODIC_INSPECTION,1
SMM-445,SMMS,50.70000076293945,90,,STN_A-STN_B,UP_MAIN,,,UNSCHEDULED (no capacity left this window),NR,DLI,UP,2026-09-03,False,,False,Flexible,True,PERIODIC_INSPECTION,1
TDM-1023,TDMS,50.400001525878906,60,COA-41,STN_C-STN_D,UP_MAIN,2026-09-07 00:00,2026-09-07 04:00,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-02,False,,False,Flexible,True,PERIODIC_INSPECTION,1
SMM-460,SMMS,49.5,45,COA-1,STN_A-STN_B,UP_MAIN,2026-09-01 18:47,2026-09-01 22:47,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-01,False,,False,Fixed Time Slot,True,PERIODIC_INSPECTION,1
TDM-1035,TDMS,49.0,90,COA-17,STN_C-STN_D,UP_MAIN,2026-09-03 12:07,2026-09-03 16:07,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-01,False,,False,Flexible,True,PERIODIC_INSPECTION,1
TDM-1042,TDMS,48.5,45,COA-16,STN_B-STN_C,DN_MAIN,2026-09-03 06:06,2026-09-03 10:06,SCHEDULED (Shadow Block),NR,DLI,DOWN,2026-09-02,True,TMS,True,Flexible,True,PERIODIC_INSPECTION,1
TMS-8019,TMS,48.29999923706055,90,COA-28,STN_B-STN_C,DN_MAIN,2026-09-05 08:54,2026-09-05 12:54,SCHEDULED (Shadow Block),NR,DLI,DOWN,2026-09-02,False,,False,Flexible,True,PERIODIC_INSPECTION,1
TMS-8024,TMS,48.0,60,COA-22,STN_B-STN_C,DN_MAIN,2026-09-04 12:08,2026-09-04 16:08,SCHEDULED (Shadow Block),NR,DLI,DOWN,2026-09-02,False,,False,Flexible,True,PERIODIC_INSPECTION,1
TDM-1027,TDMS,48.0,90,COA-23,STN_C-STN_D,UP_MAIN,2026-09-04 10:42,2026-09-04 14:42,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-03,False,,False,Flexible,True,PERIODIC_INSPECTION,1
TMS-8010,TMS,47.70000076293945,180,,STN_A-STN_B,UP_MAIN,,,UNSCHEDULED (no corridor derived for the requested date),NR,DLI,UP,2026-09-11,False,,False,Flexible,True,PERIODIC_INSPECTION,1
SMM-471,SMMS,44.900001525878906,60,COA-37,STN_A-STN_B,UP_MAIN,2026-09-07 04:54,2026-09-07 08:54,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-07,False,,False,Flexible,True,PERIODIC_INSPECTION,1
TDM-1044,TDMS,44.5,60,,STN_A-STN_B,UP_MAIN,,,UNSCHEDULED (no corridor derived for the requested date),NR,DLI,UP,2026-09-10,True,TMS,False,Flexible,True,PERIODIC_INSPECTION,1
TDM-1037,TDMS,44.29999923706055,90,COA-37,STN_A-STN_B,UP_MAIN,2026-09-07 04:54,2026-09-07 08:54,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-04,False,,False,Flexible,True,PERIODIC_INSPECTION,1
TDM-1021,TDMS,44.099998474121094,120,,STN_A-STN_B,UP_MAIN,,,UNSCHEDULED (no capacity left this window),NR,DLI,UP,2026-09-04,True,TMS,False,Flexible,True,PERIODIC_INSPECTION,1
SMM-463,SMMS,42.599998474121094,90,,STN_C-STN_D,UP_MAIN,,,UNSCHEDULED (no corridor derived for the requested date),NR,DLI,UP,2026-09-12,True,TMS,False,Fixed Time Slot,True,PERIODIC_INSPECTION,1
TDM-1030,TDMS,42.099998474121094,45,COA-40,STN_B-STN_C,DN_MAIN,2026-09-07 02:37,2026-09-07 06:37,SCHEDULED (Shadow Block),NR,DLI,DOWN,2026-09-05,False,,False,Flexible,True,PERIODIC_INSPECTION,1
TDM-1028,TDMS,41.70000076293945,120,,STN_A-STN_B,UP_MAIN,,,UNSCHEDULED (no corridor derived for the requested date),NR,DLI,UP,2026-09-08,False,,False,Flexible,True,PERIODIC_INSPECTION,1
TDM-1026,TDMS,40.0,120,,STN_B-STN_C,DN_MAIN,,,UNSCHEDULED (no corridor derived for the requested date),NR,DLI,DOWN,2026-09-12,True,TMS,False,Flexible,True,PERIODIC_INSPECTION,1
SMM-472,SMMS,39.900001525878906,45,,STN_B-STN_C,DN_MAIN,,,UNSCHEDULED (no corridor derived for the requested date),NR,DLI,DOWN,2026-09-16,True,TMS,False,Flexible,True,PERIODIC_INSPECTION,1
SMM-454,SMMS,39.900001525878906,45,,STN_C-STN_D,UP_MAIN,,,UNSCHEDULED (no corridor derived for the requested date),NR,DLI,UP,2026-09-18,True,TMS,False,Flexible,True,PERIODIC_INSPECTION,1
TMS-8027,TMS,39.79999923706055,90,,STN_A-STN_B,UP_MAIN,,,UNSCHEDULED (no corridor derived for the requested date),NR,DLI,UP,2026-09-15,True,SMMS,False,Flexible,True,PERIODIC_INSPECTION,1
SMM-458,SMMS,39.29999923706055,30,,STN_C-STN_D,UP_MAIN,,,UNSCHEDULED (no corridor derived for the requested date),NR,DLI,UP,2026-09-08,False,,False,Flexible,True,PERIODIC_INSPECTION,1
TDM-1031,TDMS,39.099998474121094,45,,STN_C-STN_D,UP_MAIN,,,UNSCHEDULED (no corridor derived for the requested date),NR,DLI,UP,2026-09-11,False,,False,Flexible,True,PERIODIC_INSPECTION,1
SMM-468,SMMS,39.0,30,,STN_C-STN_D,UP_MAIN,,,UNSCHEDULED (no corridor derived for the requested date),NR,DLI,UP,2026-09-15,False,,False,Flexible,True,PERIODIC_INSPECTION,1
SMM-455,SMMS,38.29999923706055,60,,STN_A-STN_B,UP_MAIN,,,UNSCHEDULED (no corridor derived for the requested date),NR,DLI,UP,2026-09-13,True,TMS,False,Flexible,True,PERIODIC_INSPECTION,1
TMS-8001,TMS,38.29999923706055,120,,STN_A-STN_B,DN_MAIN,,,UNSCHEDULED (no corridor derived for the requested date),NR,DLI,DOWN,2026-09-13,False,,False,Fixed Time Slot,True,PERIODIC_INSPECTION,1
TMS-8009,TMS,37.900001525878906,120,,STN_B-STN_C,UP_MAIN,,,UNSCHEDULED (no corridor derived for the requested date),NR,DLI,UP,2026-09-11,False,,False,Flexible,True,PERIODIC_INSPECTION,1
TMS-8011,TMS,37.79999923706055,120,,STN_C-STN_D,DN_MAIN,,,UNSCHEDULED (no corridor derived for the requested date),NR,DLI,DOWN,2026-09-09,True,SMMS,False,Flexible,True,PERIODIC_INSPECTION,1
SMM-451,SMMS,37.400001525878906,30,,STN_A-STN_B,UP_MAIN,,,UNSCHEDULED (no corridor derived for the requested date),NR,DLI,UP,2026-09-14,False,,False,Flexible,True,PERIODIC_INSPECTION,1
SMM-474,SMMS,36.79999923706055,90,,STN_C-STN_D,UP_MAIN,,,UNSCHEDULED (no corridor derived for the requested date),NR,DLI,UP,2026-09-12,True,TMS,False,Flexible,True,PERIODIC_INSPECTION,1
SMM-459,SMMS,35.20000076293945,60,,STN_C-STN_D,UP_MAIN,,,UNSCHEDULED (no corridor derived for the requested date),NR,DLI,UP,2026-09-15,False,,False,Flexible,True,PERIODIC_INSPECTION,1
SMM-456,SMMS,34.29999923706055,90,,STN_A-STN_B,UP_MAIN,,,UNSCHEDULED (no corridor derived for the requested date),NR,DLI,UP,2026-09-19,False,,False,Flexible,True,PERIODIC_INSPECTION,1
SMM-441,SMMS,34.29999923706055,30,,STN_A-STN_B,UP_MAIN,,,UNSCHEDULED (no corridor derived for the requested date),NR,DLI,UP,2026-09-17,False,,False,Flexible,True,PERIODIC_INSPECTION,1
TDM-1036,TDMS,32.400001525878906,90,,STN_A-STN_B,UP_MAIN,,,UNSCHEDULED (no corridor derived for the requested date),NR,DLI,UP,2026-09-14,False,,False,Flexible,True,PERIODIC_INSPECTION,1
TDM-1040,TDMS,32.0,120,,STN_A-STN_B,UP_MAIN,,,UNSCHEDULED (no corridor derived for the requested date),NR,DLI,UP,2026-09-15,True,TMS,False,Flexible,True,PERIODIC_INSPECTION,1
TMS-8034,TMS,100.0,150,,STN_B-STN_C,DN_MAIN,,,UNSCHEDULED (no capacity left this window),NR,DLI,DOWN,2026-09-11,True,TDMS,False,Fixed Time Slot,True,EMERGENCY_REPAIR,2
SMM-476,SMMS,89.4000015258789,30,COA-61,STN_A-STN_B,UP_MAIN,2026-09-11 10:41,2026-09-11 14:41,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-11,False,,False,Fixed Time Slot,True,EMERGENCY_REPAIR,2
SMM-445,SMMS,75.80000305175781,90,COA-55,STN_A-STN_B,UP_MAIN,2026-09-10 10:00,2026-09-10 14:00,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-03,False,,False,Flexible,True,PERIODIC_INSPECTION,2
TMS-8010,TMS,73.69999694824219,180,COA-61,STN_A-STN_B,UP_MAIN,2026-09-11 10:41,2026-09-11 14:41,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-11,False,,False,Flexible,True,PERIODIC_INSPECTION,2
TDM-1044,TDMS,68.19999694824219,60,COA-55,STN_A-STN_B,UP_MAIN,2026-09-10 10:00,2026-09-10 14:00,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-10,True,TMS,False,Flexible,True,PERIODIC_INSPECTION,2
SMM-463,SMMS,66.19999694824219,90,COA-71,STN_C-STN_D,UP_MAIN,2026-09-12 08:23,2026-09-12 12:23,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-12,True,TMS,False,Fixed Time Slot,True,PERIODIC_INSPECTION,2
TDM-1021,TDMS,65.5,120,COA-49,STN_A-STN_B,UP_MAIN,2026-09-09 10:52,2026-09-09 14:52,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-04,True,TMS,False,Flexible,True,PERIODIC_INSPECTION,2
TDM-1028,TDMS,64.5,120,COA-73,STN_A-STN_B,UP_MAIN,2026-09-13 09:23,2026-09-13 13:23,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-08,False,,False,Flexible,True,PERIODIC_INSPECTION,2
TMS-8027,TMS,62.20000076293945,90,,STN_A-STN_B,UP_MAIN,,,UNSCHEDULED (no corridor derived for the requested date),NR,DLI,UP,2026-09-15,True,SMMS,False,Flexible,True,PERIODIC_INSPECTION,2
SMM-472,SMMS,61.900001525878906,45,,STN_B-STN_C,DN_MAIN,,,UNSCHEDULED (no corridor derived for the requested date),NR,DLI,DOWN,2026-09-16,True,TMS,False,Flexible,True,PERIODIC_INSPECTION,2
TDM-1031,TDMS,61.099998474121094,45,COA-83,STN_C-STN_D,UP_MAIN,2026-09-14 02:46,2026-09-14 06:46,SCHEDULED (Shadow Block),NR,DLI,UP,2026-09-11,False,,False,Flexible,True,PERIODIC_INSPECTION,2
TDM-1026,TDMS,61.0,120,COA-70,STN_B-STN_C,DN_MAIN,2026-09-12 12:52,2026-09-12 16:52,SCHEDULED (Shadow Block),NR,DLI,DOWN,2026-09-12,True,TMS,False,Flexible,True,PERIODIC_INSPECTION,2
SMM-468,SMMS,60.900001525878906,30,,STN_C-STN_D,UP_MAIN,,,UNSCHEDULED (no corridor derived for the requested date),NR,DLI,UP,2026-09-15,False,,False,Flexible,True,PERIODIC_INSPECTION,2
